date,hour,province,AQI,CO,CO_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,PM10,PM10_24h,PM2.5,PM2.5_24h,SO2,SO2_24h
20200129,0,Anhui,87.3125,0.7893749999999999,0.7925000000000001,18.9375,15.3125,52.125,83.75,62.875,75.5625,69.1875,74.25,64.6875,69.5,6.625,7.1875
20200129,0,Beijing,249.0,2.51,2.08,47.0,40.0,58.0,130.0,87.0,109.0,170.0,147.0,199.0,171.0,13.0,13.0
20200129,0,Chongqing,47.0,0.87,0.79,26.0,19.0,20.0,60.0,36.0,50.0,45.0,27.0,33.0,22.0,6.0,7.0
20200129,0,Fujian,18.375,0.54625,0.5049999999999999,5.125,6.125,55.375,63.0,54.75,57.625,11.125,10.625,9.125,7.75,4.25,4.25
20200129,0,Gansu,77.91666666666667,1.1108333333333333,1.0183333333333333,25.666666666666668,20.0,46.5,95.91666666666667,67.25,84.58333333333333,70.0,64.25,55.333333333333336,46.25,14.75,20.833333333333332
20200129,0,Guangdong,28.904761904761905,0.702857142857143,0.6823809523809524,11.047619047619047,7.523809523809524,49.95238095238095,69.9047619047619,58.285714285714285,64.66666666666667,22.047619047619047,16.476190476190474,20.095238095238095,14.0,6.857142857142857,6.0476190476190474
20200129,0,Guangxi,59.46153846153846,0.7146153846153847,0.6423076923076921,11.153846153846153,7.923076923076923,55.53846153846154,75.53846153846153,62.69230769230769,68.76923076923077,45.76923076923077,33.92307692307692,42.53846153846154,30.46153846153846,7.384615384615385,6.3076923076923075
20200129,0,Guizhou,53.2,0.726,0.682,10.4,9.0,36.0,54.2,42.6,48.2,43.2,28.8,38.0,24.8,18.8,15.2
20200129,0,Hainan,29.5,0.8,0.7849999999999999,5.0,5.0,61.0,70.5,65.0,65.0,16.5,11.0,18.0,8.0,3.5,3.5
20200129,0,Hebei,163.72727272727272,1.57,1.7699999999999998,31.272727272727273,33.18181818181818,53.63636363636363,93.81818181818181,68.27272727272727,83.72727272727273,160.8181818181818,155.8181818181818,129.72727272727272,126.36363636363636,14.727272727272727,20.90909090909091
20200129,0,Heilongjiang,105.75,1.0525,1.2066666666666668,23.833333333333332,30.0,56.583333333333336,86.41666666666667,60.166666666666664,76.25,99.0,117.25,79.33333333333333,93.25,19.833333333333332,24.0
20200129,0,Henan,109.6470588235294,1.175294117647059,1.0776470588235292,25.529411764705884,19.88235294117647,52.1764705882353,102.58823529411765,71.3529411764706,90.88235294117646,89.52941176470588,83.29411764705883,82.58823529411765,76.52941176470588,8.941176470588236,9.882352941176471
20200129,0,Hubei,80.81818181818181,1.000909090909091,0.9318181818181818,18.454545454545453,13.545454545454545,46.45454545454545,88.54545454545455,62.63636363636363,79.9090909090909,66.27272727272727,63.18181818181818,59.54545454545455,54.54545454545455,6.818181818181818,6.363636363636363
20200129,0,Hunan,74.38461538461539,0.9346153846153846,0.8315384615384616,16.76923076923077,11.615384615384615,42.15384615384615,87.3076923076923,61.92307692307692,79.46153846153847,58.46153846153846,50.30769230769231,54.61538461538461,46.92307692307692,4.769230769230769,4.615384615384615
20200129,0,Jiangsu,91.3,0.8380000000000001,0.9180000000000001,16.3,16.5,60.8,79.0,63.4,71.4,73.2,81.9,67.9,76.7,6.9,7.4
20200129,0,Jiangxi,60.2,0.836,0.8210000000000001,10.2,8.7,45.8,70.7,56.5,64.4,48.7,40.7,43.3,34.4,5.1,5.5
20200129,0,Jilin,147.5,1.4324999999999999,1.89125,24.125,35.25,84.75,119.375,98.125,107.0,131.375,153.75,113.0,127.75,24.875,31.0
20200129,0,Liaoning,133.64285714285714,1.1442857142857144,1.6449999999999998,20.0,33.857142857142854,82.07142857142857,102.78571428571429,83.07142857142857,90.35714285714286,117.28571428571429,153.07142857142858,100.42857142857143,131.35714285714286,19.285714285714285,31.857142857142858
20200129,0,Neimenggu,115.0909090909091,1.1663636363636363,1.3518181818181818,29.454545454545453,26.636363636363637,51.81818181818182,85.9090909090909,63.09090909090909,78.36363636363636,105.18181818181819,112.72727272727273,88.0,94.81818181818181,14.181818181818182,17.09090909090909
20200129,0,Ningxia,100.4,1.31,1.1400000000000001,37.8,25.2,42.6,99.6,69.0,88.6,93.4,82.6,73.8,69.8,19.4,16.8
20200129,0,Qinghai,84.0,1.3,2.07,22.0,30.0,99.0,109.0,91.0,95.0,65.0,69.0,62.0,58.0,19.0,21.0
20200129,0,Shandong,104.4375,0.9968750000000001,1.06125,18.5,20.0625,62.6875,94.9375,71.25,85.3125,85.5,84.0,78.125,72.6875,12.375,16.8125
20200129,0,Shanghai,108.0,1.11,1.1,24.0,25.0,49.0,69.0,53.0,62.0,59.0,66.0,81.0,83.0,6.0,6.0
20200129,0,Shanxi,102.85714285714286,1.2290476190476194,1.2128571428571429,25.952380952380953,21.38095238095238,47.95238095238095,97.66666666666667,68.23809523809524,85.95238095238095,86.95238095238095,84.04761904761905,76.80952380952381,72.38095238095238,16.523809523809526,18.142857142857142
20200129,0,Sichuan,61.22222222222222,0.9577777777777777,0.9088888888888889,20.166666666666668,17.5,23.555555555555557,58.22222222222222,35.72222222222222,48.27777777777778,53.77777777777778,47.833333333333336,43.77777777777778,39.77777777777778,5.722222222222222,7.0
20200129,0,Tianjin,189.0,1.88,2.12,56.0,48.0,31.0,100.0,56.0,84.0,112.0,166.0,142.0,197.0,16.0,20.0
20200129,0,Xinjiang,89.5,1.38,1.595,30.0,38.0,73.0,98.5,76.5,85.5,90.5,101.5,66.5,95.0,9.5,10.0
