AQI,CO,CO_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,PM10,PM10_24h,PM2.5,PM2.5_24h,SO2,SO2_24h
66.0625,0.73625,0.7,19.75,18.625,54.5,94.75,67.125,85.0,54.875,47.0,48.125,40.375,8.125,7.3125
199.0,1.75,1.42,61.0,50.0,33.0,92.0,51.0,77.0,126.0,103.0,149.0,124.0,4.0,4.0
84.0,0.96,0.95,30.0,28.0,20.0,52.0,27.0,41.0,71.0,69.0,62.0,58.0,7.0,8.0
40.5,0.46875,0.48375,10.0,8.875,72.5,106.375,83.75,97.5,36.25,32.5,26.625,23.25,5.0,5.5
61.666666666666664,0.8650000000000001,0.7875000000000001,21.666666666666668,20.75,54.833333333333336,104.66666666666667,71.0,91.16666666666667,59.333333333333336,51.166666666666664,40.083333333333336,31.75,12.666666666666666,18.333333333333332
49.095238095238095,0.6942857142857142,0.6571428571428571,18.0,12.285714285714286,44.61904761904762,73.47619047619048,56.285714285714285,65.66666666666667,38.76190476190476,30.428571428571427,34.42857142857143,25.714285714285715,6.857142857142857,7.0
57.0,0.9261538461538461,0.7961538461538462,17.615384615384617,11.76923076923077,24.384615384615383,57.30769230769231,37.53846153846154,49.0,48.07692307692308,32.07692307692308,40.69230769230769,26.384615384615383,6.3076923076923075,7.230769230769231
22.4,0.6060000000000001,0.638,6.8,8.6,29.6,54.6,31.2,49.4,19.2,35.8,14.4,29.2,10.0,13.4
27.0,0.575,0.575,4.0,4.0,76.5,90.0,79.0,82.5,25.5,18.5,15.5,13.0,4.0,4.0
147.27272727272728,2.0845454545454545,1.731818181818182,42.54545454545455,36.18181818181818,54.81818181818182,120.0909090909091,79.9090909090909,102.0,153.54545454545453,130.27272727272728,114.81818181818181,100.45454545454545,18.818181818181817,19.363636363636363
100.58333333333333,1.0425,0.8333333333333335,23.583333333333332,22.583333333333332,67.08333333333333,88.0,68.33333333333333,78.41666666666667,93.25,76.16666666666667,75.25,61.75,17.833333333333332,21.25
69.05882352941177,0.7758823529411765,0.7835294117647058,17.058823529411764,16.705882352941178,62.411764705882355,110.6470588235294,79.3529411764706,99.23529411764706,58.76470588235294,55.705882352941174,50.23529411764706,46.76470588235294,8.588235294117647,9.352941176470589
54.18181818181818,1.03,1.0627272727272725,14.090909090909092,16.363636363636363,42.09090909090909,67.27272727272727,46.63636363636363,59.45454545454545,42.09090909090909,50.0,38.09090909090909,42.72727272727273,7.7272727272727275,7.545454545454546
49.46153846153846,0.926923076923077,0.8846153846153845,13.76923076923077,14.692307692307692,27.307692307692307,49.84615384615385,29.692307692307693,40.84615384615385,40.38461538461539,38.23076923076923,35.15384615384615,33.30769230769231,4.461538461538462,4.846153846153846
72.9,0.7380000000000001,0.7230000000000001,21.0,18.2,72.0,108.3,82.0,98.1,59.1,52.4,53.5,46.7,9.8,7.4
46.1,0.724,0.821,9.5,12.0,39.4,64.1,43.9,55.4,39.5,37.5,32.1,28.6,5.9,10.7
87.25,1.1925,1.0525,26.0,25.5,69.75,104.5,75.75,90.75,88.375,79.125,62.75,54.75,20.0,21.0
153.28571428571428,1.7621428571428572,2.1878571428571427,32.0,39.0,56.857142857142854,93.64285714285714,58.714285714285715,76.0,143.42857142857142,155.5,116.35714285714286,126.78571428571429,18.357142857142858,27.785714285714285
92.63636363636364,1.3199999999999998,1.0372727272727273,35.45454545454545,25.90909090909091,55.54545454545455,104.36363636363636,74.0909090909091,92.18181818181819,95.0909090909091,67.18181818181819,68.0909090909091,46.54545454545455,26.818181818181817,24.545454545454547
74.6,0.99,0.908,44.2,28.6,46.4,107.8,74.2,95.4,85.6,66.0,54.6,44.4,24.4,20.2
35.0,1.77,1.63,43.0,33.0,44.0,100.0,65.0,88.0,35.0,38.0,22.0,27.0,15.0,20.0
95.5625,0.8849999999999999,1.0374999999999999,24.0,24.9375,80.5,123.375,95.6875,111.75,89.25,102.875,71.4375,83.0625,12.9375,13.5
43.0,0.48,0.68,23.0,33.0,84.0,115.0,94.0,104.0,36.0,42.0,30.0,48.0,7.0,8.0
104.14285714285714,1.4590476190476187,1.2361904761904763,42.285714285714285,30.095238095238095,33.0,114.71428571428571,65.14285714285714,99.42857142857143,95.9047619047619,84.0952380952381,75.42857142857143,65.80952380952381,26.666666666666668,23.61904761904762
78.5,0.8933333333333334,0.8694444444444444,16.833333333333332,15.944444444444445,37.333333333333336,74.83333333333333,52.0,63.77777777777778,70.5,61.05555555555556,57.611111111111114,50.5,8.722222222222221,8.777777777777779
217.0,1.68,2.04,80.0,66.0,24.0,119.0,59.0,87.0,140.0,157.0,167.0,169.0,9.0,13.0
102.0,1.4100000000000001,1.585,19.0,30.0,95.5,122.5,102.0,111.0,58.0,77.5,76.5,87.0,10.0,12.0
24.0,0.88,0.77,14.0,8.0,64.0,100.0,82.0,95.0,24.0,15.0,15.0,9.0,6.0,6.0
41.5,0.75125,0.8087499999999999,11.75,9.0,54.375,94.125,73.875,86.125,30.125,27.125,27.875,23.5,5.75,6.125
51.45454545454545,0.6163636363636364,0.6100000000000001,12.545454545454545,11.818181818181818,70.54545454545455,96.63636363636364,76.54545454545455,86.27272727272727,46.0,41.0,36.45454545454545,32.81818181818182,4.909090909090909,5.0
61.375,0.7643750000000001,0.7024999999999999,19.25,18.625,53.0625,94.75,53.0625,53.0625,50.5625,46.6875,44.3125,40.0,7.4375,7.3125
201.0,1.76,1.4,61.0,49.0,25.0,93.0,25.0,25.0,123.0,102.0,151.0,124.0,4.0,4.0
