date,hour,location,province,AQI,CO,CO_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,PM10,PM10_24h,PM2.5,PM2.5_24h,SO2,SO2_24h
20190224,0,Dalian,Liaoning,86.0,1.06,1.03,67.0,47.0,50.0,116.0,74.0,99.0,80.0,90.0,63.0,65.0,29.0,27.0
20190224,0,Dandong,Liaoning,132.0,2.0,1.3,46.0,32.0,33.0,89.0,51.0,82.0,127.0,91.0,100.0,70.0,26.0,34.0
20190224,0,Daqing,Heilongjiang,87.0,0.325,0.68,16.0,32.0,63.0,110.0,62.0,90.0,114.0,131.0,64.0,87.0,7.0,15.0
20190224,0,Datong,Shanxi,58.0,1.5330000000000001,2.967,41.0,50.0,41.0,89.0,50.0,72.0,63.0,108.0,30.0,73.0,42.0,62.0
20190224,0,Dazhou,Sichuan,87.0,0.86,0.78,75.0,45.0,33.0,116.0,65.0,97.0,107.0,86.0,64.0,62.0,7.0,6.0
20190224,0,Deyang,Sichuan,60.0,0.8,1.15,33.0,45.0,25.0,55.0,38.0,47.0,57.0,111.0,42.0,86.0,2.0,9.0
20190224,0,Dezhou,Shandong,168.0,1.4669999999999999,1.733,96.0,78.0,42.0,145.0,80.0,127.0,169.0,221.0,127.0,166.0,26.0,25.0
20190224,0,Dingxi,Gansu,47.0,0.65,0.95,16.0,20.0,69.0,81.0,72.0,78.0,46.0,59.0,32.0,37.0,5.0,23.0
20190224,0,Dongguan,Guangdong,11.0,1.0,1.06,15.0,23.0,21.0,39.0,14.0,34.0,3.0,20.0,7.0,14.0,6.0,7.0
20190224,0,Dongying,Shandong,124.0,1.167,1.35,89.0,60.0,43.0,95.0,57.0,76.0,123.0,151.0,93.0,117.0,28.0,19.0
20190224,0,Ezhou,Hubei,65.0,1.2670000000000001,1.0,44.0,38.0,8.0,53.0,18.0,41.0,78.0,61.0,45.0,37.0,5.0,5.0
20190224,0,Fangchenggang,Guangxi,21.0,0.833,0.9670000000000001,11.0,14.0,44.0,44.0,39.0,39.0,20.0,19.0,11.0,14.0,5.0,5.0
20190224,0,Foshan,Guangdong,16.0,1.112,1.1,30.0,31.0,14.0,25.0,14.0,20.0,11.0,19.0,6.0,12.0,4.0,4.0
20190224,0,Fushun,Liaoning,146.0,1.95,1.45,61.0,52.0,32.0,114.0,53.0,92.0,151.0,133.0,111.0,93.0,46.0,39.0
20190224,0,Fuxin,Liaoning,61.0,0.74,0.78,50.0,31.0,29.0,97.0,64.0,87.0,60.0,70.0,43.0,40.0,67.0,54.0
20190224,0,Fuyang,Anhui,208.0,1.2,1.0,58.0,47.0,45.0,148.0,67.0,115.0,202.0,143.0,157.0,109.0,3.0,5.0
20190224,0,Fuzhou,Jiangxi,31.0,0.8,0.74,5.0,8.0,38.0,47.0,41.0,43.0,30.0,31.0,21.0,21.0,4.0,4.0
20190224,0,Ganzhou,Jiangxi,28.0,1.5,1.6,11.0,12.0,52.0,62.0,55.0,55.0,9.0,15.0,5.0,9.0,3.0,4.0
20190224,0,Guang'an,Sichuan,97.0,1.04,1.15,28.0,33.0,13.0,39.0,20.0,27.0,91.0,116.0,72.0,88.0,8.0,11.0
20190224,0,Guangyuan,Sichuan,55.0,0.75,0.975,44.0,35.0,22.0,62.0,31.0,56.0,54.0,59.0,38.0,39.0,8.0,8.0
20190224,0,Guangzhou,Guangdong,14.0,1.018,1.0,26.0,30.0,20.0,31.0,18.0,24.0,5.0,15.0,4.0,11.0,4.0,4.0
20190224,0,Guigang,Guangxi,23.0,0.825,0.8,8.0,10.0,43.0,52.0,45.0,50.0,10.0,20.0,11.0,14.0,5.0,5.0
20190224,0,Guilin,Guangxi,33.0,0.75,0.825,11.0,14.0,65.0,75.0,65.0,70.0,11.0,23.0,10.0,20.0,5.0,5.0
20190224,0,Guiyang,Guizhou,36.0,0.52,0.59,12.0,13.0,40.0,56.0,46.0,50.0,33.0,26.0,25.0,16.0,7.0,9.0
20190224,0,Guyuan,Ningxia,57.0,0.667,0.633,33.0,29.0,80.0,123.0,107.0,116.0,51.0,47.0,39.0,28.0,10.0,10.0
20190224,0,Haikou,Hainan,29.0,0.85,0.44,17.0,11.0,14.0,57.0,26.0,48.0,28.0,27.0,19.0,12.0,4.0,4.0
20190224,0,Handan,Hebei,172.0,1.225,3.35,59.0,62.0,59.0,146.0,97.0,131.0,175.0,231.0,130.0,160.0,21.0,33.0
