date,hour,location,province,AQI,CO,CO_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,PM10,PM10_24h,PM2.5,PM2.5_24h,SO2,SO2_24h
20190113,0,Alashanmeng,Neimenggu,38.0,0.667,0.5,21.0,14.0,67.0,90.0,75.0,86.0,35.0,49.0,25.0,32.0,11.0,10.0
20190113,0,Ankang,Shanxi,120.0,1.4669999999999999,1.567,34.0,36.0,9.0,48.0,24.0,39.0,128.0,131.0,90.0,108.0,11.0,21.0
20190113,0,Anqing,Anhui,103.0,1.0,0.84,38.0,28.0,31.0,56.0,38.0,44.0,72.0,47.0,76.0,36.0,6.0,7.0
20190113,0,Anshan,Liaoning,300.0,2.417,2.386,65.0,65.0,25.0,55.0,14.0,40.0,326.0,248.0,250.0,187.0,25.0,26.0
20190113,0,Anshun,Guizhou,18.0,1.025,0.925,17.0,17.0,15.0,53.0,26.0,40.0,15.0,26.0,12.0,20.0,22.0,26.0
20190113,0,Anyang,Henan,261.0,2.52,2.9,65.0,55.0,5.0,22.0,7.0,15.0,262.0,268.0,210.0,230.0,9.0,11.0
20190113,0,Baicheng,Jilin,146.0,1.15,1.0,43.0,40.0,25.0,65.0,24.0,51.0,173.0,138.0,111.0,79.0,18.0,20.0
20190113,0,Baise,Guangxi,63.0,1.65,1.45,27.0,18.0,3.0,30.0,14.0,25.0,73.0,38.0,43.0,22.0,15.0,21.0
20190113,0,Baishan,Jilin,105.0,2.25,1.85,40.0,38.0,5.0,49.0,13.0,28.0,113.0,106.0,78.0,64.0,19.0,28.0
20190113,0,Baiyin,Gansu,78.0,0.9,0.6,52.0,37.0,32.0,72.0,31.0,52.0,104.0,70.0,47.0,28.0,111.0,32.0
20190113,0,Baoding,Hebei,289.0,4.9,5.1,70.0,102.0,4.0,12.0,3.0,8.0,399.0,506.0,238.0,395.0,11.0,37.0
20190113,0,Baoji,Shanxi,196.0,1.75,1.463,69.0,54.0,13.0,91.0,38.0,63.0,184.0,140.0,147.0,109.0,10.0,10.0
20190113,0,Baoshan,Yunnan,50.0,0.5,0.45,49.0,19.0,24.0,65.0,49.0,52.0,49.0,28.0,20.0,13.0,6.0,5.0
20190113,0,Baotou,Neimenggu,55.0,1.483,2.0669999999999997,60.0,60.0,20.0,67.0,40.0,52.0,57.0,133.0,32.0,81.0,24.0,41.0
20190113,0,Bayannur,Neimenggu,61.0,0.6,0.6,34.0,23.0,31.0,78.0,37.0,70.0,70.0,72.0,38.0,34.0,15.0,20.0
20190113,0,Bazhong,Sichuan,88.0,1.2,1.25,35.0,33.0,18.0,80.0,32.0,61.0,109.0,98.0,65.0,59.0,4.0,5.0
20190113,0,Beihai,Guangxi,82.0,1.45,1.325,21.0,17.0,14.0,69.0,31.0,44.0,72.0,57.0,60.0,42.0,11.0,9.0
20190113,0,Beijing,Beijing,436.0,3.6830000000000003,2.508,115.0,98.0,5.0,22.0,5.0,13.0,414.0,209.0,403.0,208.0,7.0,13.0
20190113,0,Bengbu,Anhui,153.0,1.3,1.183,54.0,38.0,17.0,74.0,25.0,63.0,162.0,143.0,116.0,118.0,9.0,11.0
20190113,0,Benxi,Liaoning,199.0,2.4,2.3169999999999997,64.0,62.0,9.0,52.0,15.0,30.0,211.0,162.0,149.0,104.0,17.0,41.0
20190113,0,Bijie,Guizhou,26.0,0.95,1.15,10.0,21.0,61.0,62.0,50.0,50.0,17.0,49.0,13.0,32.0,8.0,11.0
20190113,0,Binzhou,Shandong,319.0,2.767,2.3,104.0,69.0,4.0,86.0,20.0,69.0,304.0,241.0,268.0,209.0,28.0,28.0
20190113,0,Bozhou,Anhui,156.0,1.45,1.45,32.0,30.0,12.0,25.0,18.0,21.0,130.0,120.0,118.0,101.0,7.0,5.0
20190113,0,Cangzhou,Hebei,192.0,2.533,2.0669999999999997,61.0,63.0,8.0,36.0,10.0,25.0,255.0,273.0,144.0,187.0,11.0,14.0
20190113,0,Changchun,Jilin,269.0,2.83,2.06,73.0,66.0,15.0,42.0,17.0,33.0,260.0,170.0,218.0,153.0,19.0,31.0
20190113,0,Changde,Hunan,94.0,1.4,1.5,23.0,26.0,28.0,40.0,34.0,35.0,,45.0,70.0,52.0,3.0,4.0
20190113,0,Changsha,Hunan,75.0,1.122,1.23,28.0,41.0,24.0,36.0,20.0,31.0,,48.0,54.0,57.0,4.0,3.0
20190113,0,Changzhi,Shanxi,137.0,2.55,2.32,67.0,53.0,17.0,85.0,43.0,64.0,163.0,178.0,104.0,127.0,56.0,48.0
20190113,0,Changzhou,Jiangsu,71.0,1.033,1.044,54.0,46.0,9.0,29.0,12.0,16.0,65.0,63.0,51.0,48.0,13.0,12.0
20190113,0,Chaoyang,Liaoning,249.0,3.725,3.075,65.0,59.0,9.0,45.0,16.0,31.0,280.0,218.0,198.0,154.0,97.0,65.0
20190113,0,Chaozhou,Guangdong,63.0,0.767,0.9670000000000001,16.0,26.0,51.0,118.0,63.0,81.0,42.0,80.0,44.0,54.0,10.0,12.0
20190113,0,Chengde,Hebei,142.0,3.18,2.8,66.0,60.0,7.0,17.0,7.0,13.0,185.0,172.0,108.0,86.0,29.0,40.0
20190113,0,Chengdu,Sichuan,100.0,1.311,1.2670000000000001,49.0,50.0,23.0,54.0,29.0,39.0,116.0,97.0,75.0,68.0,7.0,8.0
20190113,0,Chenzhou,Hunan,47.0,1.26,1.08,36.0,29.0,12.0,18.0,13.0,16.0,46.0,32.0,29.0,21.0,6.0,7.0
20190113,0,Chifeng,Neimenggu,109.0,1.4,1.625,46.0,60.0,24.0,38.0,20.0,23.0,125.0,136.0,81.0,82.0,38.0,44.0
20190113,0,Chizhou,Anhui,124.0,1.1,0.867,47.0,51.0,32.0,52.0,35.0,39.0,115.0,54.0,93.0,45.0,7.0,7.0
20190113,0,Chongqing,Chongqing,91.0,1.5819999999999999,1.276,54.0,47.0,7.0,28.0,7.0,19.0,105.0,77.0,67.0,54.0,7.0,7.0
20190113,0,Chongzuo,Guangxi,40.0,1.35,1.45,23.0,21.0,10.0,25.0,18.0,20.0,39.0,32.0,25.0,18.0,2.0,2.0
20190113,0,Chuzhou,Anhui,138.0,1.4,1.033,60.0,38.0,29.0,98.0,53.0,81.0,137.0,109.0,105.0,79.0,11.0,9.0
20190113,0,Dalian,Liaoning,216.0,1.42,1.53,35.0,45.0,54.0,75.0,47.0,59.0,199.0,192.0,165.0,164.0,14.0,18.0
20190113,0,Dandong,Liaoning,200.0,2.55,2.175,50.0,53.0,18.0,70.0,17.0,43.0,204.0,166.0,150.0,124.0,28.0,58.0
20190113,0,Daqing,Heilongjiang,220.0,1.58,1.74,71.0,74.0,15.0,33.0,11.0,24.0,219.0,225.0,169.0,177.0,16.0,25.0
20190113,0,Datong,Shanxi,73.0,2.7,2.8,52.0,48.0,12.0,73.0,32.0,59.0,94.0,151.0,44.0,81.0,46.0,56.0
20190113,0,Dazhou,Sichuan,138.0,1.68,1.42,42.0,44.0,33.0,75.0,37.0,52.0,156.0,118.0,105.0,81.0,5.0,7.0
20190113,0,Deyang,Sichuan,131.0,1.6669999999999998,1.45,80.0,47.0,2.0,73.0,38.0,56.0,141.0,98.0,99.0,74.0,4.0,5.0
20190113,0,Dezhou,Shandong,327.0,2.0669999999999997,1.7,66.0,47.0,6.0,71.0,25.0,54.0,351.0,282.0,276.0,226.0,12.0,14.0
20190113,0,Dingxi,Gansu,108.0,1.75,1.55,55.0,48.0,6.0,86.0,30.0,68.0,110.0,116.0,80.0,63.0,32.0,44.0
20190113,0,Dongguan,Guangdong,87.0,1.5,1.46,58.0,54.0,3.0,44.0,10.0,20.0,80.0,85.0,64.0,71.0,10.0,10.0
20190113,0,Dongying,Shandong,279.0,2.0,1.733,66.0,61.0,5.0,75.0,19.0,60.0,290.0,273.0,228.0,215.0,25.0,26.0
20190113,0,Ezhou,Hubei,89.0,1.35,1.35,59.0,40.0,2.0,54.0,18.0,46.0,102.0,99.0,66.0,77.0,9.0,8.0
20190113,0,Fangchenggang,Guangxi,56.0,1.633,1.5,28.0,23.0,7.0,29.0,12.0,23.0,59.0,45.0,39.0,25.0,5.0,5.0
20190113,0,Foshan,Guangdong,72.0,1.5630000000000002,1.4,57.0,51.0,4.0,41.0,11.0,25.0,91.0,67.0,44.0,36.0,10.0,11.0
20190113,0,Fushun,Liaoning,314.0,3.367,2.35,69.0,65.0,15.0,44.0,18.0,32.0,335.0,213.0,263.0,160.0,26.0,39.0
20190113,0,Fuxin,Liaoning,361.0,4.02,3.24,75.0,91.0,17.0,24.0,16.0,19.0,376.0,314.0,310.0,258.0,99.0,77.0
20190113,0,Fuyang,Anhui,113.0,0.9670000000000001,1.0,28.0,28.0,35.0,57.0,28.0,44.0,111.0,114.0,84.0,88.0,3.0,4.0
20190113,0,Fuzhou,Jiangxi,38.0,1.06,1.16,14.0,26.0,43.0,43.0,28.0,28.0,37.0,33.0,25.0,23.0,5.0,5.0
20190113,0,Ganzhou,Jiangxi,33.0,1.775,1.76,13.0,23.0,48.0,51.0,35.0,37.0,32.0,27.0,19.0,15.0,16.0,10.0
20190113,0,Guang'an,Sichuan,128.0,1.72,1.45,47.0,35.0,6.0,37.0,13.0,27.0,127.0,87.0,97.0,64.0,9.0,10.0
20190113,0,Guangyuan,Sichuan,63.0,1.425,1.5,49.0,42.0,31.0,87.0,52.0,77.0,73.0,73.0,44.0,48.0,7.0,9.0
20190113,0,Guangzhou,Guangdong,81.0,1.6640000000000001,1.5090000000000001,56.0,51.0,5.0,30.0,9.0,18.0,90.0,66.0,59.0,49.0,6.0,6.0
20190113,0,Guigang,Guangxi,71.0,1.8,1.575,30.0,20.0,9.0,26.0,9.0,18.0,89.0,50.0,47.0,28.0,7.0,6.0
20190113,0,Guilin,Guangxi,22.0,1.225,1.325,22.0,25.0,21.0,28.0,20.0,23.0,14.0,35.0,15.0,26.0,7.0,8.0
20190113,0,Guiyang,Guizhou,26.0,0.97,0.96,19.0,22.0,19.0,44.0,19.0,27.0,25.0,40.0,17.0,24.0,9.0,12.0
20190113,0,Guyuan,Ningxia,70.0,2.1,1.4,64.0,42.0,14.0,88.0,34.0,79.0,87.0,93.0,48.0,38.0,27.0,20.0
20190113,0,Haikou,Hainan,24.0,0.58,0.56,23.0,14.0,37.0,66.0,47.0,55.0,22.0,29.0,11.0,15.0,4.0,4.0
20190113,0,Handan,Hebei,206.0,2.525,3.15,56.0,53.0,6.0,22.0,9.0,16.0,246.0,307.0,155.0,245.0,6.0,8.0
20190113,0,Hangzhou,Zhejiang,82.0,1.109,1.1179999999999999,36.0,37.0,29.0,36.0,24.0,26.0,83.0,42.0,60.0,29.0,8.0,7.0
20190113,0,Hanzhong,Shanxi,219.0,2.475,1.825,44.0,29.0,13.0,54.0,27.0,45.0,165.0,146.0,168.0,147.0,9.0,7.0
20190113,0,Harbin,Heilongjiang,328.0,2.838,1.746,86.0,66.0,19.0,56.0,22.0,41.0,301.0,163.0,277.0,143.0,28.0,41.0
20190113,0,Hebi,Henan,205.0,1.867,2.033,64.0,61.0,6.0,18.0,8.0,13.0,209.0,242.0,154.0,198.0,5.0,5.0
20190113,0,Hechi,Guangxi,36.0,1.4669999999999999,1.3330000000000002,22.0,17.0,6.0,27.0,14.0,21.0,28.0,22.0,25.0,17.0,4.0,4.0
20190113,0,Hefei,Anhui,149.0,1.13,0.98,68.0,48.0,14.0,59.0,25.0,47.0,124.0,111.0,114.0,89.0,5.0,5.0
20190113,0,Hegang,Heilongjiang,58.0,0.45,1.1,20.0,32.0,45.0,56.0,27.0,45.0,64.0,109.0,40.0,44.0,11.0,16.0
20190113,0,Heihe,Heilongjiang,52.0,0.5670000000000001,0.7,10.0,19.0,42.0,53.0,26.0,45.0,51.0,51.0,19.0,24.0,10.0,12.0
20190113,0,Hengshui,Hebei,312.0,2.533,1.9,49.0,48.0,10.0,40.0,17.0,28.0,359.0,245.0,261.0,179.0,8.0,8.0
20190113,0,Hengyang,Hunan,91.0,1.5830000000000002,1.367,37.0,36.0,10.0,33.0,16.0,26.0,76.0,54.0,67.0,50.0,10.0,10.0
20190113,0,Heyuan,Guangdong,49.0,1.3,1.2670000000000001,40.0,29.0,18.0,70.0,40.0,54.0,48.0,28.0,25.0,19.0,6.0,5.0
20190113,0,Heze,Shandong,164.0,1.4669999999999999,1.5330000000000001,33.0,30.0,18.0,40.0,22.0,31.0,151.0,172.0,124.0,146.0,6.0,9.0
20190113,0,Hezhou,Guangxi,48.0,0.95,1.0,15.0,19.0,31.0,47.0,26.0,36.0,47.0,28.0,29.0,20.0,12.0,14.0
20190113,0,Hohhot,Neimenggu,182.0,3.063,2.325,83.0,75.0,6.0,36.0,11.0,25.0,218.0,185.0,137.0,113.0,42.0,36.0
20190113,0,Huaibei,Anhui,202.0,1.433,1.4,29.0,36.0,29.0,45.0,28.0,38.0,167.0,177.0,151.0,160.0,8.0,10.0
20190113,0,Huaihua,Hunan,34.0,1.12,1.22,12.0,18.0,40.0,56.0,36.0,42.0,33.0,40.0,21.0,25.0,2.0,4.0
20190113,0,Huainan,Anhui,156.0,1.133,0.9670000000000001,42.0,30.0,24.0,53.0,33.0,44.0,142.0,100.0,118.0,83.0,15.0,12.0
20190113,0,Huanggang,Hubei,88.0,0.85,0.85,46.0,33.0,5.0,49.0,17.0,43.0,103.0,95.0,65.0,69.0,4.0,2.0
20190113,0,Huangshan,Anhui,34.0,0.733,0.833,28.0,34.0,32.0,37.0,31.0,31.0,33.0,21.0,20.0,12.0,10.0,7.0
20190113,0,Huangshi,Hubei,65.0,1.183,1.2,43.0,36.0,21.0,59.0,28.0,45.0,73.0,84.0,46.0,62.0,5.0,8.0
20190113,0,Huizhou,Guangdong,63.0,1.04,1.1,37.0,38.0,53.0,90.0,52.0,72.0,59.0,65.0,44.0,44.0,9.0,9.0
20190113,0,Huludao,Liaoning,453.0,8.275,5.1,112.0,110.0,12.0,17.0,11.0,13.0,476.0,359.0,428.0,314.0,168.0,102.0
20190113,0,Hulunbuir,Neimenggu,56.0,0.5,0.65,18.0,29.0,31.0,50.0,23.0,39.0,56.0,45.0,39.0,29.0,2.0,4.0
20190113,0,Huzhou,Zhejiang,89.0,1.114,1.2109999999999999,55.0,52.0,42.0,70.0,50.0,56.0,84.0,82.0,66.0,62.0,13.0,18.0
