date,hour,location,province,AQI,CO,CO_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,PM10,PM10_24h,PM2_5,PM2_5_24h,SO2,SO2_24h
20180108,0,Alashanmeng,Neimenggu,52.0,0.5329999999999999,0.6,7.0,9.0,86.0,87.0,81.0,83.0,52.0,63.0,32.0,36.0,8.0,10.0
20180108,0,Ankang,Shanxi,54.0,0.933,0.867,31.0,23.0,24.0,66.0,46.0,59.0,45.0,38.0,37.0,33.0,13.0,14.0
20180108,0,Anqing,Anhui,78.0,1.05,1.125,17.0,27.0,69.0,81.0,69.0,76.0,,68.0,57.0,65.0,5.0,8.0
20180108,0,Anshan,Liaoning,55.0,1.186,1.529,25.0,44.0,53.0,59.0,34.0,45.0,57.0,77.0,36.0,46.0,27.0,47.0
20180108,0,Anshun,Guizhou,10.0,0.925,1.025,16.0,21.0,18.0,29.0,18.0,18.0,6.0,51.0,3.0,37.0,20.0,29.0
20180108,0,Anyang,Henan,243.0,2.2,2.0,56.0,42.0,5.0,56.0,19.0,45.0,199.0,138.0,192.0,138.0,16.0,29.0
20180108,0,Baicheng,Jilin,28.0,0.6,0.7,13.0,19.0,60.0,71.0,50.0,66.0,27.0,42.0,10.0,23.0,12.0,16.0
20180108,0,Baise,Guangxi,26.0,1.75,1.9,31.0,34.0,3.0,10.0,4.0,7.0,25.0,48.0,17.0,35.0,30.0,30.0
20180108,0,Baishan,Jilin,122.0,2.15,1.95,59.0,56.0,11.0,47.0,16.0,33.0,134.0,124.0,92.0,81.0,83.0,75.0
20180108,0,Baiyin,Gansu,70.0,0.5,0.55,7.0,8.0,66.0,81.0,72.0,77.0,87.0,88.0,28.0,30.0,7.0,7.0
20180108,0,Baoding,Hebei,206.0,2.0,2.15,68.0,69.0,14.0,69.0,39.0,54.0,196.0,185.0,155.0,142.0,29.0,36.0
20180108,0,Baoji,Shanxi,59.0,0.675,1.15,21.0,28.0,64.0,95.0,67.0,84.0,65.0,78.0,25.0,62.0,6.0,12.0
20180108,0,Baoshan,Yunnan,42.0,0.55,0.55,8.0,10.0,74.0,89.0,83.0,85.0,19.0,40.0,8.0,12.0,14.0,8.0
20180108,0,Baotou,Neimenggu,71.0,2.367,1.1,38.0,19.0,30.0,63.0,42.0,58.0,90.0,65.0,28.0,23.0,76.0,21.0
20180108,0,Bayannur,Neimenggu,53.0,0.3,0.4,10.0,13.0,79.0,83.0,76.0,79.0,54.0,35.0,13.0,16.0,4.0,7.0
20180108,0,Bazhong,Sichuan,54.0,0.9,0.875,22.0,22.0,61.0,72.0,51.0,61.0,49.0,34.0,37.0,24.0,6.0,4.0
20180108,0,Beihai,Guangxi,32.0,1.0,1.325,15.0,28.0,35.0,35.0,26.0,26.0,30.0,30.0,22.0,23.0,6.0,7.0
20180108,0,Beijing,Beijing,33.0,0.333,0.892,13.0,44.0,59.0,62.0,55.0,55.0,32.0,55.0,14.0,36.0,4.0,11.0
20180108,0,Bengbu,Anhui,179.0,1.217,1.5,43.0,46.0,33.0,74.0,30.0,48.0,149.0,127.0,135.0,119.0,14.0,20.0
20180108,0,Benxi,Liaoning,91.0,2.48,3.25,53.0,60.0,17.0,23.0,10.0,14.0,129.0,152.0,62.0,85.0,71.0,96.0
20180108,0,Bijie,Guizhou,18.0,1.15,1.3,14.0,19.0,30.0,45.0,35.0,39.0,5.0,17.0,3.0,10.0,6.0,9.0
20180108,0,Binzhou,Shandong,133.0,1.467,1.5,45.0,54.0,22.0,58.0,34.0,46.0,114.0,106.0,101.0,82.0,21.0,44.0
20180108,0,Bozhou,Anhui,204.0,1.05,1.1,31.0,37.0,77.0,77.0,59.0,59.0,160.0,141.0,153.0,127.0,16.0,12.0
20180108,0,Cangzhou,Hebei,147.0,1.367,1.833,38.0,58.0,45.0,71.0,47.0,60.0,140.0,125.0,112.0,94.0,32.0,50.0
20180108,0,Changchun,Jilin,103.0,1.39,1.06,46.0,47.0,30.0,57.0,30.0,48.0,99.0,88.0,76.0,60.0,42.0,53.0
20180108,0,Changde,Hunan,115.0,1.24,1.16,25.0,20.0,69.0,87.0,76.0,83.0,,41.0,86.0,70.0,8.0,6.0
20180108,0,Changsha,Hunan,142.0,1.18,0.97,30.0,24.0,51.0,68.0,52.0,65.0,,45.0,108.0,66.0,7.0,5.0
20180108,0,Changzhi,Shanxi,122.0,1.46,1.8,28.0,33.0,50.0,65.0,47.0,55.0,107.0,120.0,92.0,102.0,56.0,46.0
20180108,0,Changzhou,Jiangsu,104.0,1.644,1.3330000000000002,58.0,50.0,9.0,36.0,11.0,26.0,87.0,57.0,77.0,43.0,13.0,13.0
20180108,0,Chaoyang,Liaoning,43.0,0.633,2.05,14.0,48.0,63.0,64.0,25.0,34.0,42.0,137.0,11.0,83.0,37.0,105.0
20180108,0,Chaozhou,Guangdong,35.0,1.1,1.0,44.0,25.0,11.0,57.0,36.0,48.0,32.0,16.0,24.0,10.0,16.0,10.0
20180108,0,Chengde,Hebei,33.0,0.46,1.16,14.0,32.0,59.0,71.0,65.0,65.0,31.0,82.0,14.0,31.0,11.0,29.0
20180108,0,Chengdu,Sichuan,78.0,1.056,0.911,63.0,36.0,32.0,90.0,51.0,75.0,82.0,54.0,57.0,36.0,10.0,9.0
20180108,0,Chenzhou,Hunan,18.0,0.98,1.06,17.0,23.0,39.0,40.0,31.0,31.0,17.0,18.0,9.0,9.0,5.0,7.0
20180108,0,Chifeng,Neimenggu,29.0,0.6,1.375,5.0,33.0,60.0,62.0,57.0,57.0,19.0,86.0,9.0,54.0,10.0,48.0
20180108,0,Chizhou,Anhui,93.0,1.267,1.2,20.0,26.0,63.0,85.0,71.0,80.0,66.0,67.0,69.0,68.0,13.0,9.0
20180108,0,Chongqing,Chongqing,54.0,0.8759999999999999,0.941,38.0,33.0,9.0,20.0,11.0,15.0,47.0,34.0,37.0,24.0,10.0,8.0
20180108,0,Chongzuo,Guangxi,22.0,1.5,1.55,25.0,24.0,4.0,13.0,5.0,10.0,16.0,21.0,15.0,19.0,5.0,5.0
20180108,0,Chuzhou,Anhui,189.0,1.467,1.067,52.0,40.0,30.0,72.0,25.0,50.0,162.0,95.0,142.0,66.0,19.0,12.0
20180108,0,Dalian,Liaoning,41.0,0.833,0.989,39.0,43.0,43.0,65.0,34.0,52.0,40.0,43.0,25.0,26.0,22.0,30.0
20180108,0,Dandong,Liaoning,142.0,2.75,1.925,60.0,50.0,13.0,50.0,22.0,39.0,148.0,95.0,108.0,66.0,46.0,65.0
20180108,0,Daqing,Heilongjiang,64.0,1.14,0.98,34.0,37.0,19.0,51.0,21.0,38.0,64.0,53.0,45.0,38.0,22.0,22.0
20180108,0,Datong,Shanxi,61.0,0.883,1.55,16.0,32.0,81.0,84.0,46.0,57.0,56.0,84.0,43.0,65.0,24.0,35.0
20180108,0,Dazhou,Sichuan,85.0,1.04,0.8,45.0,32.0,43.0,77.0,40.0,68.0,87.0,48.0,62.0,31.0,10.0,10.0
20180108,0,Deyang,Sichuan,63.0,0.65,0.925,19.0,27.0,71.0,87.0,59.0,73.0,61.0,52.0,44.0,34.0,6.0,5.0
20180108,0,Dezhou,Shandong,136.0,1.967,1.6,46.0,47.0,23.0,53.0,32.0,47.0,115.0,100.0,103.0,73.0,19.0,19.0
20180108,0,Dingxi,Gansu,79.0,1.15,0.7,36.0,13.0,41.0,84.0,63.0,74.0,106.0,94.0,53.0,47.0,31.0,25.0
20180108,0,Dongguan,Guangdong,55.0,1.14,0.98,50.0,41.0,3.0,32.0,6.0,24.0,46.0,35.0,38.0,23.0,8.0,7.0
20180108,0,Dongying,Shandong,108.0,1.2,0.95,38.0,40.0,32.0,57.0,43.0,49.0,115.0,87.0,80.0,50.0,21.0,33.0
20180108,0,Ezhou,Hubei,141.0,1.567,1.533,37.0,30.0,38.0,78.0,41.0,72.0,114.0,110.0,107.0,104.0,26.0,13.0
20180108,0,Fangchenggang,Guangxi,22.0,2.033,1.7,28.0,29.0,4.0,13.0,4.0,8.0,21.0,28.0,15.0,21.0,10.0,7.0
20180108,0,Foshan,Guangdong,63.0,1.475,1.238,56.0,46.0,2.0,11.0,2.0,6.0,63.0,42.0,44.0,27.0,10.0,8.0
20180108,0,Fushun,Liaoning,211.0,2.533,2.0,76.0,72.0,18.0,42.0,23.0,35.0,191.0,159.0,160.0,120.0,50.0,50.0
20180108,0,Fuxin,Liaoning,53.0,0.5,1.94,13.0,61.0,60.0,60.0,23.0,31.0,54.0,141.0,15.0,107.0,16.0,104.0
20180108,0,Fuyang,Anhui,193.0,1.1,1.167,14.0,24.0,66.0,58.0,42.0,46.0,137.0,135.0,145.0,129.0,5.0,22.0
20180108,0,Fuzhou,Jiangxi,69.0,0.98,0.98,13.0,19.0,49.0,50.0,42.0,42.0,54.0,33.0,49.0,29.0,5.0,5.0
20180108,0,Ganzhou,Jiangxi,25.0,1.9,1.82,33.0,27.0,7.0,12.0,6.0,10.0,20.0,20.0,17.0,18.0,3.0,6.0
20180108,0,Guang'an,Sichuan,42.0,0.76,0.833,19.0,15.0,31.0,47.0,41.0,43.0,41.0,46.0,24.0,29.0,10.0,10.0
20180108,0,Guangyuan,Sichuan,72.0,0.55,0.95,7.0,15.0,89.0,89.0,81.0,81.0,91.0,51.0,28.0,23.0,14.0,16.0
20180108,0,Guangzhou,Guangdong,63.0,1.418,1.073,59.0,48.0,4.0,22.0,6.0,14.0,63.0,32.0,44.0,22.0,9.0,7.0
20180108,0,Guigang,Guangxi,11.0,0.967,0.95,21.0,22.0,3.0,15.0,4.0,11.0,9.0,13.0,5.0,8.0,4.0,6.0
20180108,0,Guilin,Guangxi,12.0,0.975,1.175,13.0,18.0,29.0,29.0,20.0,20.0,7.0,17.0,8.0,11.0,5.0,8.0
