date,hour,location,province,AQI,CO,CO_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,PM10,PM10_24h,PM2.5,PM2.5_24h,SO2,SO2_24h
20180202,0,Alashanmeng,Neimenggu,45.0,0.467,0.5670000000000001,6.0,9.0,86.0,99.0,87.0,95.0,44.0,139.0,21.0,44.0,8.0,9.0
20180202,0,Ankang,Shanxi,109.0,1.3,0.9329999999999999,57.0,40.0,6.0,57.0,25.0,41.0,119.0,81.0,81.0,51.0,16.0,22.0
20180202,0,Anqing,Anhui,205.0,1.2,1.15,72.0,67.0,62.0,149.0,86.0,121.0,194.0,156.0,154.0,132.0,43.0,23.0
20180202,0,Anshan,Liaoning,133.0,2.0709999999999997,1.4,64.0,45.0,14.0,66.0,27.0,60.0,139.0,85.0,101.0,53.0,64.0,40.0
20180202,0,Anshun,Guizhou,32.0,0.925,1.125,14.0,24.0,52.0,82.0,61.0,73.0,24.0,87.0,22.0,74.0,22.0,37.0
20180202,0,Anyang,Henan,157.0,2.58,2.06,69.0,52.0,10.0,70.0,29.0,59.0,160.0,121.0,119.0,56.0,58.0,36.0
20180202,0,Baicheng,Jilin,85.0,1.0,0.85,34.0,28.0,33.0,66.0,36.0,60.0,81.0,46.0,62.0,30.0,16.0,16.0
20180202,0,Baise,Guangxi,72.0,1.3,1.45,28.0,32.0,65.0,112.0,74.0,99.0,78.0,92.0,52.0,65.0,10.0,41.0
20180202,0,Baishan,Jilin,93.0,2.15,1.5,56.0,42.0,9.0,76.0,17.0,61.0,102.0,80.0,69.0,54.0,58.0,53.0
20180202,0,Baiyin,Gansu,66.0,0.65,0.75,7.0,14.0,78.0,88.0,84.0,86.0,79.0,79.0,19.0,23.0,6.0,18.0
20180202,0,Baoding,Hebei,57.0,0.35,2.217,11.0,65.0,71.0,72.0,41.0,46.0,61.0,170.0,24.0,103.0,5.0,43.0
20180202,0,Baoji,Shanxi,125.0,1.263,1.075,69.0,50.0,18.0,104.0,41.0,79.0,143.0,109.0,94.0,62.0,16.0,16.0
20180202,0,Baoshan,Yunnan,60.0,0.6,0.7,13.0,20.0,76.0,110.0,88.0,102.0,47.0,66.0,42.0,42.0,16.0,15.0
20180202,0,Baotou,Neimenggu,38.0,0.483,0.833,10.0,21.0,72.0,85.0,75.0,82.0,23.0,104.0,12.0,30.0,7.0,11.0
20180202,0,Bayannur,Neimenggu,50.0,1.2,0.833,42.0,22.0,39.0,74.0,57.0,69.0,49.0,61.0,30.0,23.0,56.0,20.0
20180202,0,Bazhong,Sichuan,139.0,1.125,0.925,43.0,40.0,17.0,47.0,19.0,37.0,160.0,110.0,106.0,65.0,5.0,5.0
20180202,0,Beihai,Guangxi,109.0,0.925,0.925,36.0,19.0,62.0,125.0,80.0,116.0,103.0,69.0,81.0,54.0,10.0,11.0
20180202,0,Beijing,Beijing,49.0,0.308,0.758,9.0,37.0,70.0,78.0,70.0,71.0,48.0,82.0,5.0,29.0,3.0,10.0
20180202,0,Bengbu,Anhui,137.0,1.25,1.15,79.0,67.0,26.0,73.0,29.0,59.0,178.0,159.0,104.0,94.0,23.0,25.0
20180202,0,Benxi,Liaoning,104.0,1.9169999999999998,1.883,68.0,52.0,16.0,59.0,19.0,39.0,115.0,98.0,77.0,54.0,42.0,47.0
20180202,0,Bijie,Guizhou,36.0,1.0,1.25,11.0,18.0,77.0,77.0,56.0,56.0,33.0,67.0,25.0,55.0,9.0,10.0
20180202,0,Binzhou,Shandong,136.0,1.567,1.767,85.0,79.0,4.0,90.0,21.0,70.0,168.0,131.0,103.0,79.0,45.0,58.0
20180202,0,Bozhou,Anhui,106.0,0.8,0.9,48.0,50.0,58.0,86.0,60.0,76.0,123.0,122.0,79.0,64.0,25.0,19.0
20180202,0,Cangzhou,Hebei,106.0,1.167,1.5,80.0,76.0,10.0,50.0,15.0,38.0,149.0,132.0,79.0,81.0,34.0,61.0
20180202,0,Changchun,Jilin,85.0,1.33,1.26,62.0,47.0,18.0,78.0,27.0,63.0,84.0,72.0,62.0,54.0,36.0,54.0
20180202,0,Changde,Hunan,72.0,0.82,0.8,49.0,36.0,62.0,123.0,95.0,112.0,90.0,81.0,52.0,56.0,14.0,12.0
20180202,0,Changsha,Hunan,91.0,1.03,0.99,55.0,53.0,52.0,106.0,69.0,88.0,93.0,78.0,67.0,57.0,17.0,13.0
20180202,0,Changzhi,Shanxi,77.0,0.82,1.6,30.0,42.0,55.0,98.0,64.0,75.0,101.0,107.0,38.0,48.0,63.0,53.0
20180202,0,Changzhou,Jiangsu,199.0,2.133,1.811,110.0,81.0,9.0,78.0,20.0,55.0,185.0,176.0,149.0,140.0,22.0,23.0
20180202,0,Chaoyang,Liaoning,48.0,0.6,1.55,8.0,34.0,75.0,82.0,66.0,68.0,47.0,122.0,13.0,63.0,24.0,111.0
20180202,0,Chaozhou,Guangdong,42.0,0.8,0.767,16.0,12.0,40.0,61.0,42.0,57.0,41.0,34.0,29.0,23.0,10.0,8.0
20180202,0,Chengde,Hebei,45.0,0.46,1.1,8.0,33.0,77.0,81.0,74.0,75.0,44.0,101.0,17.0,30.0,7.0,20.0
20180202,0,Chengdu,Sichuan,85.0,0.956,0.789,74.0,58.0,23.0,83.0,52.0,64.0,116.0,103.0,62.0,56.0,9.0,13.0
20180202,0,Chenzhou,Hunan,135.0,1.88,1.66,51.0,45.0,20.0,85.0,43.0,74.0,143.0,124.0,102.0,82.0,12.0,12.0
20180202,0,Chifeng,Neimenggu,31.0,0.6,1.35,4.0,27.0,65.0,66.0,55.0,57.0,30.0,78.0,11.0,40.0,9.0,37.0
20180202,0,Chizhou,Anhui,179.0,1.0,1.1,38.0,65.0,87.0,133.0,71.0,112.0,164.0,151.0,135.0,124.0,17.0,26.0
20180202,0,Chongqing,Chongqing,120.0,1.206,1.0759999999999998,66.0,64.0,9.0,39.0,14.0,26.0,137.0,106.0,90.0,65.0,16.0,15.0
20180202,0,Chongzuo,Guangxi,98.0,0.85,0.75,19.0,22.0,126.0,145.0,129.0,135.0,95.0,59.0,73.0,44.0,14.0,9.0
20180202,0,Chuzhou,Anhui,142.0,2.3,1.3330000000000002,124.0,100.0,12.0,116.0,37.0,86.0,170.0,158.0,108.0,112.0,14.0,14.0
20180202,0,Dalian,Liaoning,58.0,1.08,1.05,54.0,47.0,40.0,78.0,37.0,62.0,63.0,56.0,30.0,25.0,21.0,26.0
20180202,0,Dandong,Liaoning,147.0,2.725,1.825,53.0,41.0,15.0,82.0,29.0,65.0,148.0,80.0,112.0,57.0,32.0,64.0
20180202,0,Daqing,Heilongjiang,154.0,1.52,1.16,64.0,49.0,38.0,69.0,37.0,55.0,128.0,93.0,117.0,75.0,21.0,27.0
20180202,0,Datong,Shanxi,33.0,0.667,1.85,8.0,27.0,60.0,79.0,64.0,69.0,25.0,112.0,11.0,49.0,13.0,48.0
20180202,0,Dazhou,Sichuan,160.0,1.58,1.22,64.0,63.0,38.0,66.0,42.0,54.0,181.0,122.0,121.0,81.0,10.0,17.0
20180202,0,Deyang,Sichuan,121.0,1.0,0.75,71.0,47.0,7.0,82.0,43.0,64.0,158.0,127.0,91.0,58.0,14.0,8.0
20180202,0,Dezhou,Shandong,132.0,2.1,1.733,103.0,70.0,2.0,79.0,25.0,59.0,167.0,128.0,100.0,64.0,99.0,40.0
20180202,0,Dingxi,Gansu,69.0,0.55,1.45,13.0,35.0,87.0,100.0,84.0,87.0,85.0,174.0,47.0,83.0,7.0,55.0
20180202,0,Dongguan,Guangdong,76.0,0.96,0.92,34.0,37.0,60.0,92.0,52.0,84.0,62.0,56.0,55.0,46.0,14.0,12.0
20180202,0,Dongying,Shandong,108.0,1.275,1.15,68.0,55.0,6.0,76.0,22.0,58.0,144.0,116.0,80.0,56.0,46.0,39.0
20180202,0,Ezhou,Hubei,110.0,1.4,1.433,104.0,62.0,4.0,107.0,50.0,91.0,119.0,121.0,82.0,80.0,15.0,21.0
20180202,0,Fangchenggang,Guangxi,96.0,1.0,0.833,39.0,21.0,76.0,137.0,99.0,124.0,109.0,74.0,71.0,51.0,15.0,12.0
20180202,0,Foshan,Guangdong,85.0,0.925,0.737,83.0,39.0,16.0,92.0,43.0,82.0,97.0,78.0,62.0,59.0,12.0,8.0
20180202,0,Fushun,Liaoning,109.0,1.0,1.367,39.0,55.0,53.0,71.0,34.0,58.0,117.0,99.0,81.0,69.0,42.0,40.0
20180202,0,Fuxin,Liaoning,34.0,0.325,0.86,8.0,32.0,71.0,78.0,66.0,71.0,33.0,79.0,13.0,56.0,45.0,66.0
20180202,0,Fuyang,Anhui,117.0,0.9,0.9329999999999999,36.0,46.0,46.0,90.0,41.0,76.0,120.0,108.0,88.0,62.0,13.0,14.0
20180202,0,Fuzhou,Jiangxi,81.0,0.74,1.08,35.0,33.0,48.0,83.0,63.0,74.0,86.0,103.0,59.0,74.0,11.0,21.0
20180202,0,Ganzhou,Jiangxi,82.0,1.2,1.36,29.0,24.0,67.0,112.0,90.0,104.0,82.0,94.0,60.0,68.0,19.0,18.0
20180202,0,Guang'an,Sichuan,108.0,1.12,0.9159999999999999,60.0,36.0,21.0,55.0,46.0,50.0,120.0,112.0,80.0,72.0,15.0,18.0
20180202,0,Guangyuan,Sichuan,68.0,0.9,0.9,60.0,48.0,33.0,76.0,59.0,66.0,84.0,90.0,32.0,39.0,17.0,27.0
20180202,0,Guangzhou,Guangdong,66.0,0.755,0.773,62.0,40.0,35.0,100.0,52.0,88.0,69.0,65.0,47.0,51.0,11.0,10.0
20180202,0,Guigang,Guangxi,70.0,0.7,0.675,31.0,23.0,90.0,137.0,104.0,126.0,81.0,73.0,50.0,53.0,15.0,15.0
20180202,0,Guilin,Guangxi,66.0,0.525,0.65,18.0,20.0,107.0,123.0,107.0,115.0,59.0,65.0,47.0,55.0,22.0,18.0
20180202,0,Guiyang,Guizhou,65.0,0.72,1.04,19.0,33.0,62.0,85.0,62.0,72.0,55.0,105.0,46.0,79.0,15.0,30.0
20180202,0,Guyuan,Ningxia,96.0,0.667,1.133,19.0,31.0,65.0,97.0,79.0,92.0,139.0,110.0,26.0,40.0,8.0,14.0
20180202,0,Haikou,Hainan,59.0,0.675,0.74,13.0,9.0,73.0,103.0,93.0,97.0,47.0,53.0,41.0,47.0,6.0,8.0
