date,hour,location,AQI,CO,CO_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,PM10,PM10_24h,PM2.5,PM2.5_24h,SO2,SO2_24h
20190309,0,Dazhou,105.0,0.96,0.84,74.0,55.0,32.0,126.0,74.0,115.0,116.0,109.0,78.0,76.0,7.0,7.0
20190309,0,Deyang,88.0,0.85,0.625,46.0,21.0,19.0,77.0,48.0,72.0,87.0,53.0,65.0,39.0,2.0,2.0
20190309,0,Dezhou,82.0,0.867,0.667,54.0,40.0,53.0,126.0,91.0,115.0,112.0,110.0,58.0,50.0,15.0,13.0
20190309,0,Dingxi,62.0,0.7,0.6,23.0,19.0,84.0,108.0,84.0,100.0,72.0,41.0,32.0,18.0,8.0,8.0
20190309,0,Dongguan,55.0,0.76,0.78,35.0,36.0,36.0,37.0,13.0,20.0,38.0,24.0,38.0,20.0,8.0,9.0
20190309,0,Dongying,80.0,0.85,1.1,51.0,66.0,50.0,126.0,80.0,113.0,108.0,134.0,55.0,78.0,26.0,31.0
20190309,0,Ezhou,87.0,1.0,1.067,26.0,35.0,75.0,94.0,68.0,84.0,98.0,92.0,64.0,53.0,5.0,15.0
20190309,0,Fangchenggang,16.0,0.967,0.933,15.0,16.0,29.0,37.0,31.0,35.0,7.0,12.0,7.0,7.0,4.0,3.0
20190309,0,Foshan,26.0,1.088,0.988,44.0,44.0,4.0,20.0,4.0,14.0,25.0,24.0,15.0,14.0,5.0,7.0
20190309,0,Fushun,153.0,1.567,1.25,67.0,44.0,38.0,105.0,64.0,94.0,172.0,126.0,116.0,64.0,48.0,30.0
20190309,0,Fuxin,122.0,1.02,0.98,38.0,40.0,69.0,97.0,78.0,87.0,117.0,112.0,92.0,66.0,40.0,53.0
20190309,0,Fuyang,100.0,0.6,0.633,59.0,38.0,40.0,112.0,69.0,101.0,109.0,88.0,75.0,54.0,6.0,13.0
20190309,0,Fuzhou,76.0,1.1,1.08,18.0,20.0,45.0,76.0,52.0,64.0,79.0,99.0,55.0,70.0,6.0,8.0
20190309,0,Ganzhou,27.0,1.3,1.22,9.0,13.0,55.0,85.0,53.0,79.0,22.0,38.0,17.0,28.0,5.0,4.0
