date,hour,location,AQI,CO,CO_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,PM10,PM10_24h,PM2.5,PM2.5_24h,SO2,SO2_24h
20190131,0,Alashanmeng,79.0,0.467,0.5,5.0,7.0,71.0,91.0,71.0,87.0,105.0,95.0,30.0,31.0,8.0,8.0
20190131,0,Ankang,59.0,1.3,1.2,25.0,31.0,27.0,66.0,41.0,55.0,28.0,113.0,41.0,86.0,8.0,15.0
20190131,0,Anqing,82.0,1.0,1.1,32.0,27.0,27.0,47.0,33.0,42.0,66.0,108.0,60.0,135.0,8.0,7.0
20190131,0,Anshan,102.0,1.171,1.029,33.0,30.0,40.0,78.0,46.0,64.0,152.0,140.0,56.0,55.0,26.0,23.0
20190131,0,Anshun,30.0,0.967,0.45,11.0,7.0,28.0,72.0,50.0,67.0,24.0,24.0,21.0,19.0,14.0,13.0
20190131,0,Anyang,95.0,0.8,1.92,18.0,46.0,50.0,50.0,40.0,40.0,137.0,273.0,21.0,198.0,13.0,17.0
20190131,0,Baicheng,35.0,0.2,0.2,5.0,5.0,64.0,80.0,69.0,76.0,18.0,126.0,12.0,17.0,10.0,10.0
20190131,0,Baise,56.0,1.0,0.95,28.0,17.0,21.0,66.0,49.0,62.0,59.0,48.0,32.0,29.0,15.0,17.0
20190131,0,Baishan,71.0,0.5,1.15,6.0,18.0,60.0,77.0,64.0,72.0,89.0,87.0,15.0,40.0,7.0,16.0
20190131,0,Baiyin,78.0,0.4,0.4,4.0,6.0,67.0,80.0,72.0,76.0,104.0,77.0,20.0,18.0,3.0,7.0
20190131,0,Baoding,44.0,0.65,1.75,19.0,57.0,50.0,58.0,50.0,54.0,43.0,189.0,19.0,108.0,4.0,27.0
20190131,0,Baoji,62.0,0.7,0.95,22.0,33.0,30.0,53.0,34.0,42.0,71.0,87.0,38.0,64.0,5.0,8.0
20190131,0,Baoshan,38.0,0.2,0.2,7.0,6.0,61.0,93.0,74.0,88.0,29.0,18.0,14.0,12.0,4.0,4.0
20190131,0,Baotou,32.0,0.48,0.633,11.0,8.0,59.0,72.0,63.0,69.0,21.0,69.0,9.0,11.0,11.0,8.0
20190131,0,Bayannur,61.0,0.7,0.5329999999999999,25.0,10.0,38.0,67.0,52.0,64.0,70.0,69.0,35.0,20.0,18.0,10.0
20190131,0,Bazhong,38.0,0.9,1.025,23.0,26.0,25.0,47.0,30.0,34.0,36.0,79.0,26.0,62.0,3.0,3.0
20190131,0,Beihai,72.0,0.775,0.7,13.0,10.0,74.0,117.0,91.0,110.0,52.0,42.0,52.0,26.0,7.0,7.0
20190131,0,Beijing,30.0,0.325,0.525,8.0,20.0,60.0,64.0,58.0,61.0,17.0,72.0,4.0,26.0,2.0,5.0
20190131,0,Bengbu,36.0,0.75,0.8,17.0,33.0,52.0,75.0,50.0,50.0,22.0,101.0,25.0,63.0,5.0,11.0
20190131,0,Benxi,60.0,0.7829999999999999,0.867,13.0,23.0,52.0,82.0,56.0,66.0,68.0,68.0,13.0,31.0,10.0,17.0
20190131,0,Bijie,26.0,1.1,1.25,12.0,11.0,54.0,59.0,50.0,50.0,10.0,16.0,8.0,12.0,8.0,8.0
20190131,0,Binzhou,52.0,0.6,1.467,15.0,46.0,58.0,87.0,61.0,62.0,52.0,177.0,17.0,111.0,8.0,24.0
20190131,0,Bozhou,81.0,1.0,1.05,14.0,25.0,43.0,51.0,39.0,39.0,61.0,132.0,59.0,91.0,6.0,5.0
20190131,0,Cangzhou,71.0,0.833,1.367,22.0,46.0,36.0,71.0,44.0,60.0,90.0,186.0,36.0,97.0,17.0,26.0
20190131,0,Changchun,61.0,0.54,0.57,16.0,17.0,47.0,69.0,50.0,64.0,69.0,163.0,27.0,29.0,17.0,13.0
