date,hour,location,AQI,CO,CO_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,PM10,PM10_24h,PM2.5,PM2.5_24h,SO2,SO2_24h
20190119,0,Alashanmeng,49.0,0.433,0.467,10.0,9.0,76.0,90.0,78.0,87.0,48.0,47.0,26.0,31.0,9.0,10.0
20190119,0,Ankang,160.0,1.633,1.4,67.0,55.0,5.0,29.0,11.0,17.0,196.0,143.0,121.0,95.0,21.0,25.0
20190119,0,Anqing,56.0,0.9,1.04,17.0,30.0,58.0,102.0,62.0,82.0,46.0,85.0,39.0,62.0,8.0,8.0
20190119,0,Anshan,320.0,3.614,1.9,87.0,59.0,15.0,62.0,17.0,48.0,365.0,168.0,269.0,115.0,23.0,26.0
20190119,0,Anshun,33.0,0.8,0.8,10.0,11.0,41.0,50.0,41.0,43.0,26.0,25.0,23.0,18.0,20.0,15.0
20190119,0,Anyang,227.0,3.64,2.32,98.0,75.0,6.0,24.0,8.0,16.0,263.0,179.0,176.0,116.0,71.0,35.0
20190119,0,Baicheng,121.0,1.7,0.65,60.0,37.0,20.0,79.0,29.0,64.0,161.0,86.0,91.0,48.0,32.0,17.0
20190119,0,Baise,75.0,1.3,1.1,30.0,20.0,10.0,61.0,26.0,49.0,78.0,67.0,54.0,45.0,14.0,13.0
20190119,0,Baishan,82.0,2.05,1.65,36.0,32.0,7.0,57.0,12.0,43.0,94.0,81.0,60.0,45.0,22.0,27.0
20190119,0,Baiyin,42.0,0.5,0.55,12.0,13.0,65.0,83.0,68.0,77.0,41.0,44.0,15.0,18.0,10.0,13.0
20190119,0,Baoding,225.0,2.5,2.833,113.0,100.0,5.0,23.0,6.0,14.0,262.0,251.0,174.0,167.0,43.0,59.0
20190119,0,Baoji,131.0,1.425,1.275,65.0,51.0,15.0,83.0,35.0,61.0,143.0,115.0,99.0,80.0,10.0,11.0
20190119,0,Baoshan,32.0,0.35,0.45,10.0,22.0,54.0,78.0,63.0,72.0,30.0,39.0,21.0,19.0,4.0,6.0
20190119,0,Baotou,49.0,1.033,1.733,25.0,43.0,49.0,73.0,48.0,64.0,48.0,97.0,15.0,56.0,14.0,33.0
20190119,0,Bayannur,125.0,1.467,1.467,51.0,43.0,17.0,63.0,29.0,47.0,132.0,124.0,94.0,80.0,77.0,48.0
20190119,0,Bazhong,130.0,1.0,1.0,29.0,36.0,14.0,30.0,19.0,25.0,133.0,100.0,98.0,69.0,4.0,4.0
20190119,0,Beihai,87.0,1.175,1.2,21.0,17.0,106.0,153.0,127.0,136.0,77.0,53.0,64.0,40.0,8.0,9.0
20190119,0,Beijing,56.0,0.645,1.342,42.0,71.0,27.0,34.0,13.0,20.0,60.0,102.0,27.0,61.0,6.0,14.0
20190119,0,Bengbu,132.0,1.05,1.017,67.0,55.0,27.0,96.0,35.0,71.0,160.0,144.0,100.0,87.0,18.0,18.0
20190119,0,Benxi,96.0,1.817,1.683,49.0,47.0,13.0,50.0,24.0,37.0,113.0,90.0,71.0,52.0,17.0,28.0
20190119,0,Bijie,16.0,1.1,1.2,12.0,23.0,27.0,46.0,31.0,37.0,13.0,76.0,10.0,49.0,,14.0
20190119,0,Binzhou,215.0,2.367,2.067,121.0,96.0,4.0,72.0,13.0,47.0,209.0,172.0,164.0,118.0,67.0,60.0
20190119,0,Bozhou,126.0,1.3,1.15,49.0,51.0,33.0,94.0,48.0,69.0,144.0,135.0,95.0,96.0,11.0,10.0
