AQI,CO,CO_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,PM10,PM10_24h,PM2.5,PM2.5_24h,SO2,SO2_24h
87.8125,0.6971875000000001,0.9193749999999998,38.0625,39.875,53.0625,110.0625,69.4375,93.4375,107.8,116.5625,50.6875,81.5625,10.375,10.6875
32.0,0.3670000000000001,0.275,33.0,15.0,46.0,93.0,62.0,83.0,25.0,21.0,10.0,7.0,2.0,2.0
53.0,0.855,0.8859999999999999,41.0,38.0,14.0,25.0,11.0,16.0,50.0,63.0,36.0,47.0,7.0,7.0
29.0,0.664125,0.8141250000000001,14.375,26.5,62.875,74.25,54.0,57.875,15.25,24.75,11.375,17.75,4.25,5.375
79.33333333333333,0.7014166666666667,0.7069166666666665,25.583333333333332,26.083333333333332,81.08333333333333,114.41666666666667,97.66666666666667,105.91666666666667,101.33333333333333,92.91666666666667,44.583333333333336,35.166666666666664,11.0,18.916666666666668
23.285714285714285,0.8404285714285715,0.7922380952380953,23.047619047619047,26.333333333333332,30.80952380952381,50.42857142857143,29.19047619047619,39.57142857142857,17.61904761904762,22.61904761904762,11.19047619047619,14.285714285714286,6.142857142857143,6.190476190476191
28.076923076923077,0.8782307692307693,0.9015384615384616,14.615384615384615,14.23076923076923,45.76923076923077,62.61538461538461,47.61538461538461,55.53846153846154,24.09090909090909,23.076923076923077,16.846153846153847,14.615384615384615,7.230769230769231,7.3076923076923075
37.8,0.636,0.6604,17.4,20.6,49.8,74.0,50.2,65.2,35.0,41.4,24.8,29.6,10.2,12.0
28.5,0.565,0.54,8.5,13.0,39.5,71.0,47.0,56.5,27.5,32.5,16.0,17.5,3.5,3.5
61.90909090909091,0.679,0.5348181818181819,38.54545454545455,25.0,40.54545454545455,97.72727272727273,65.54545454545455,91.54545454545455,70.45454545454545,66.18181818181819,31.363636363636363,24.727272727272727,10.090909090909092,8.454545454545455
41.333333333333336,0.5054166666666667,0.46525,16.5,14.0,51.333333333333336,82.16666666666667,59.333333333333336,77.5,37.333333333333336,35.75,22.083333333333332,19.333333333333332,8.083333333333334,8.833333333333334
83.23529411764706,0.5493529411764706,0.9528823529411764,24.58823529411765,34.88235294117647,67.23529411764706,117.88235294117646,83.76470588235294,103.88235294117646,101.94117647058823,134.0,38.05882352941177,87.82352941176471,8.058823529411764,12.0
90.18181818181819,0.8949090909090909,0.8804545454545455,37.90909090909091,32.72727272727273,62.0,124.54545454545455,80.27272727272727,105.36363636363636,101.72727272727273,69.45454545454545,66.45454545454545,43.0,7.545454545454546,8.272727272727273
65.61538461538461,1.0149230769230768,0.9455384615384615,36.15384615384615,28.153846153846153,37.69230769230769,74.84615384615384,49.07692307692308,60.69230769230769,63.07692307692308,46.69230769230769,44.69230769230769,34.92307692307692,7.769230769230769,7.230769230769231
134.0,0.9019999999999999,0.942,28.8,38.1,84.4,114.9,83.3,98.0,159.8,123.4,97.3,82.5,9.3,10.3
50.1,0.7971999999999999,0.8348000000000001,25.0,18.9,38.4,73.9,48.5,64.4,44.3,36.1,32.1,25.1,9.8,7.2
66.75,0.87625,0.6275000000000001,34.5,19.625,35.0,90.25,57.625,84.0,75.0,53.125,43.0,29.25,11.375,10.875
55.214285714285715,0.6512142857142856,0.7780714285714287,34.642857142857146,24.071428571428573,45.285714285714285,89.42857142857143,64.78571428571429,83.5,61.214285714285715,91.57142857142857,24.214285714285715,41.357142857142854,17.214285714285715,14.642857142857142
54.90909090909091,0.6427272727272727,0.5779090909090908,32.09090909090909,21.545454545454547,54.18181818181818,96.18181818181819,70.0,89.81818181818181,58.45454545454545,47.45454545454545,31.363636363636363,22.454545454545453,14.909090909090908,13.272727272727273
55.8,0.5851999999999999,0.6472,31.8,25.6,62.6,108.4,84.2,99.0,60.2,60.2,23.2,20.0,15.8,17.4
57.0,0.975,1.175,26.0,37.0,99.0,131.0,106.0,119.0,61.0,65.0,39.0,40.0,15.0,17.0
78.11764705882354,0.5456470588235293,0.7847647058823528,32.294117647058826,34.94117647058823,57.0,105.52941176470588,77.47058823529412,95.29411764705883,103.23529411764706,148.64705882352942,29.705882352941178,66.6470588235294,9.117647058823529,11.882352941176471
244.0,1.39,0.96,42.0,47.0,139.0,141.0,88.0,114.0,203.0,101.0,193.0,77.0,10.0,6.0
