date,hour,location,province,AQI,CO,CO_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,PM10,PM10_24h,PM2.5,PM2.5_24h,SO2,SO2_24h
20190111,0,Alashanmeng,Neimenggu,76.0,0.5329999999999999,0.633,18.0,20.0,75.0,92.0,75.0,81.0,76.0,74.0,55.0,47.0,14.0,15.0
20190111,0,Ankang,Shanxi,188.0,1.7,1.5330000000000001,48.0,39.0,9.0,37.0,11.0,29.0,,111.0,141.0,113.0,12.0,22.0
20190111,0,Anqing,Anhui,56.0,0.6,0.72,33.0,33.0,25.0,39.0,27.0,33.0,41.0,30.0,39.0,27.0,5.0,8.0
20190111,0,Anshan,Liaoning,141.0,2.343,1.629,69.0,51.0,9.0,53.0,12.0,41.0,167.0,116.0,107.0,67.0,24.0,26.0
20190111,0,Anshun,Guizhou,15.0,1.15,0.6,14.0,11.0,12.0,56.0,26.0,47.0,14.0,19.0,10.0,12.0,12.0,19.0
20190111,0,Anyang,Henan,230.0,1.76,1.64,62.0,54.0,11.0,42.0,16.0,30.0,177.0,148.0,179.0,126.0,16.0,17.0
20190111,0,Baicheng,Jilin,72.0,0.75,0.5,58.0,33.0,19.0,76.0,27.0,60.0,80.0,66.0,52.0,31.0,17.0,15.0
20190111,0,Baise,Guangxi,40.0,1.65,1.45,30.0,22.0,4.0,31.0,12.0,21.0,39.0,33.0,25.0,18.0,30.0,24.0
20190111,0,Baishan,Jilin,93.0,2.05,1.8,37.0,32.0,8.0,64.0,20.0,49.0,99.0,94.0,69.0,58.0,20.0,29.0
20190111,0,Baiyin,Gansu,93.0,1.05,0.7,69.0,35.0,4.0,41.0,19.0,37.0,134.0,90.0,61.0,46.0,32.0,30.0
20190111,0,Baoding,Hebei,280.0,3.7,2.75,102.0,85.0,4.0,24.0,5.0,12.0,323.0,236.0,229.0,162.0,76.0,47.0
20190111,0,Baoji,Shanxi,204.0,1.825,1.775,56.0,57.0,14.0,58.0,25.0,35.0,185.0,198.0,153.0,162.0,9.0,11.0
20190111,0,Baoshan,Yunnan,32.0,0.4,0.45,19.0,14.0,47.0,77.0,62.0,73.0,18.0,25.0,8.0,13.0,4.0,4.0
20190111,0,Baotou,Neimenggu,97.0,1.933,2.767,60.0,68.0,17.0,55.0,24.0,31.0,133.0,158.0,72.0,101.0,31.0,58.0
20190111,0,Bayannur,Neimenggu,58.0,0.733,0.767,24.0,29.0,38.0,70.0,43.0,59.0,63.0,86.0,39.0,46.0,44.0,38.0
20190111,0,Bazhong,Sichuan,98.0,1.425,1.3,30.0,27.0,2.0,21.0,9.0,12.0,95.0,70.0,73.0,57.0,4.0,4.0
20190111,0,Beihai,Guangxi,50.0,1.45,1.35,14.0,15.0,11.0,21.0,13.0,16.0,49.0,50.0,27.0,30.0,6.0,6.0
20190111,0,Beijing,Beijing,193.0,1.983,1.492,87.0,77.0,5.0,27.0,4.0,16.0,163.0,112.0,145.0,74.0,16.0,14.0
20190111,0,Bengbu,Anhui,74.0,0.633,0.7,33.0,35.0,17.0,32.0,21.0,24.0,57.0,70.0,53.0,58.0,7.0,8.0
20190111,0,Benxi,Liaoning,119.0,2.3169999999999997,1.65,55.0,46.0,9.0,63.0,13.0,41.0,145.0,96.0,89.0,57.0,22.0,33.0
20190111,0,Bijie,Guizhou,16.0,0.95,1.0,11.0,14.0,36.0,36.0,30.0,30.0,4.0,24.0,3.0,17.0,7.0,10.0
20190111,0,Binzhou,Shandong,161.0,1.9,1.4,56.0,52.0,14.0,61.0,24.0,50.0,133.0,117.0,122.0,93.0,23.0,28.0
20190111,0,Bozhou,Anhui,139.0,1.1,1.05,52.0,47.0,5.0,28.0,11.0,22.0,113.0,82.0,106.0,83.0,13.0,13.0
20190111,0,Cangzhou,Hebei,211.0,1.4669999999999999,1.6,59.0,61.0,15.0,34.0,10.0,25.0,201.0,178.0,160.0,120.0,25.0,30.0
20190111,0,Changchun,Jilin,172.0,2.62,1.4,68.0,49.0,14.0,52.0,16.0,41.0,153.0,83.0,130.0,65.0,23.0,25.0
20190111,0,Changde,Hunan,82.0,1.06,1.22,21.0,25.0,31.0,33.0,28.0,28.0,41.0,53.0,60.0,59.0,5.0,4.0
20190111,0,Changsha,Hunan,46.0,1.01,1.12,26.0,30.0,11.0,18.0,10.0,15.0,,16.0,32.0,15.0,3.0,3.0
20190111,0,Changzhi,Shanxi,189.0,2.44,2.1,65.0,52.0,12.0,67.0,25.0,48.0,212.0,160.0,142.0,120.0,51.0,38.0
20190111,0,Changzhou,Jiangsu,45.0,0.8,0.922,44.0,47.0,18.0,34.0,9.0,21.0,44.0,59.0,31.0,43.0,10.0,12.0
20190111,0,Chaoyang,Liaoning,137.0,2.2,1.65,53.0,45.0,11.0,66.0,18.0,48.0,147.0,108.0,104.0,69.0,61.0,47.0
20190111,0,Chaozhou,Guangdong,64.0,0.867,1.033,21.0,26.0,53.0,149.0,80.0,123.0,45.0,63.0,45.0,51.0,13.0,15.0
20190111,0,Chengde,Hebei,100.0,2.18,2.1,56.0,53.0,7.0,33.0,8.0,21.0,126.0,130.0,75.0,64.0,30.0,36.0
20190111,0,Chengdu,Sichuan,72.0,1.162,1.044,52.0,36.0,17.0,52.0,26.0,32.0,76.0,87.0,52.0,62.0,6.0,6.0
20190111,0,Chenzhou,Hunan,17.0,1.34,1.3,32.0,31.0,6.0,13.0,8.0,11.0,15.0,20.0,10.0,10.0,5.0,6.0
20190111,0,Chifeng,Neimenggu,96.0,1.7,1.325,52.0,43.0,7.0,61.0,9.0,43.0,140.0,86.0,68.0,48.0,50.0,49.0
20190111,0,Chizhou,Anhui,64.0,1.0,0.9,70.0,62.0,38.0,22.0,9.0,15.0,60.0,51.0,45.0,40.0,10.0,7.0
20190111,0,Chongqing,Chongqing,53.0,1.324,1.335,38.0,38.0,6.0,21.0,6.0,16.0,51.0,40.0,36.0,29.0,6.0,5.0
20190111,0,Chongzuo,Guangxi,26.0,1.3,1.3,22.0,19.0,7.0,22.0,8.0,13.0,23.0,15.0,18.0,9.0,2.0,3.0
20190111,0,Chuzhou,Anhui,61.0,0.633,0.5670000000000001,27.0,29.0,46.0,61.0,35.0,48.0,44.0,63.0,43.0,45.0,10.0,9.0
20190111,0,Dalian,Liaoning,165.0,1.89,1.19,61.0,43.0,9.0,57.0,14.0,46.0,165.0,109.0,125.0,74.0,16.0,19.0
20190111,0,Dandong,Liaoning,146.0,2.425,1.725,50.0,42.0,7.0,55.0,16.0,42.0,163.0,104.0,111.0,69.0,28.0,41.0
20190111,0,Daqing,Heilongjiang,77.0,1.54,0.68,76.0,41.0,10.0,67.0,19.0,57.0,101.0,56.0,44.0,28.0,30.0,18.0
20190111,0,Datong,Shanxi,236.0,5.117,4.167,68.0,64.0,7.0,33.0,8.0,21.0,278.0,234.0,185.0,148.0,86.0,93.0
20190111,0,Dazhou,Sichuan,116.0,1.42,1.32,42.0,40.0,30.0,45.0,31.0,36.0,109.0,89.0,87.0,72.0,5.0,9.0
20190111,0,Deyang,Sichuan,64.0,1.4,1.25,57.0,36.0,4.0,43.0,25.0,31.0,67.0,66.0,45.0,50.0,4.0,5.0
20190111,0,Dezhou,Shandong,184.0,1.133,1.2,51.0,43.0,7.0,35.0,13.0,27.0,167.0,166.0,138.0,127.0,10.0,12.0
20190111,0,Dingxi,Gansu,100.0,1.7,0.9,56.0,40.0,10.0,86.0,32.0,68.0,119.0,96.0,75.0,57.0,21.0,24.0
20190111,0,Dongguan,Guangdong,120.0,1.64,1.3,95.0,63.0,3.0,122.0,29.0,79.0,126.0,85.0,90.0,62.0,15.0,13.0
20190111,0,Dongying,Shandong,182.0,1.15,1.075,58.0,53.0,4.0,67.0,11.0,46.0,176.0,149.0,137.0,97.0,23.0,28.0
20190111,0,Ezhou,Hubei,59.0,0.9,0.95,24.0,25.0,12.0,29.0,12.0,25.0,53.0,39.0,41.0,28.0,5.0,6.0
20190111,0,Fangchenggang,Guangxi,22.0,1.367,1.4,26.0,24.0,10.0,26.0,9.0,21.0,18.0,22.0,15.0,13.0,5.0,6.0
20190111,0,Foshan,Guangdong,75.0,1.55,1.4380000000000002,53.0,55.0,3.0,23.0,6.0,13.0,96.0,100.0,54.0,54.0,12.0,11.0
20190111,0,Fushun,Liaoning,200.0,2.5,1.5830000000000002,59.0,49.0,18.0,53.0,20.0,42.0,237.0,130.0,150.0,80.0,28.0,34.0
20190111,0,Fuxin,Liaoning,65.0,1.0,1.5,36.0,46.0,25.0,69.0,32.0,53.0,78.0,128.0,43.0,84.0,35.0,77.0
20190111,0,Fuyang,Anhui,135.0,0.867,0.767,32.0,28.0,8.0,31.0,11.0,26.0,122.0,93.0,102.0,76.0,4.0,4.0
20190111,0,Fuzhou,Jiangxi,16.0,1.16,1.06,27.0,25.0,12.0,19.0,15.0,16.0,15.0,17.0,10.0,8.0,4.0,5.0
20190111,0,Ganzhou,Jiangxi,19.0,1.7,1.64,33.0,33.0,4.0,12.0,5.0,9.0,18.0,16.0,13.0,9.0,6.0,7.0
