date,hour,location,province,AQI,CO,CO_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,PM10,PM10_24h,PM2_5,PM2_5_24h,SO2,SO2_24h
20190223,0,Alashanmeng,Neimenggu,100.0,1.067,0.9,17.0,16.0,115.0,139.0,125.0,127.0,98.0,76.0,75.0,56.0,18.0,17.0
20190223,0,Ankang,Shanxi,74.0,1.033,0.8,44.0,25.0,29.0,88.0,57.0,80.0,96.0,69.0,33.0,57.0,17.0,19.0
20190223,0,Anqing,Anhui,53.0,0.72,0.66,12.0,11.0,62.0,83.0,69.0,78.0,32.0,21.0,36.0,21.0,8.0,7.0
20190223,0,Anshan,Liaoning,214.0,2.15,3.0,74.0,64.0,21.0,98.0,42.0,72.0,222.0,197.0,163.0,142.0,22.0,37.0
20190223,0,Anshun,Guizhou,23.0,0.65,0.7,9.0,14.0,36.0,59.0,44.0,52.0,13.0,37.0,9.0,30.0,14.0,17.0
20190223,0,Anyang,Henan,294.0,3.22,2.86,99.0,58.0,9.0,134.0,58.0,109.0,294.0,288.0,243.0,264.0,24.0,14.0
20190223,0,Baicheng,Jilin,114.0,1.35,0.5,64.0,29.0,24.0,107.0,44.0,95.0,136.0,81.0,85.0,53.0,22.0,15.0
20190223,0,Baise,Guangxi,54.0,0.95,0.9,8.0,15.0,37.0,57.0,41.0,49.0,56.0,36.0,35.0,22.0,14.0,12.0
20190223,0,Baishan,Jilin,76.0,1.5,1.45,21.0,21.0,38.0,109.0,58.0,93.0,83.0,72.0,55.0,47.0,15.0,18.0
20190223,0,Baiyin,Gansu,59.0,0.85,0.85,18.0,20.0,93.0,121.0,92.0,104.0,65.0,64.0,39.0,51.0,10.0,52.0
20190223,0,Baoding,Hebei,354.0,3.18,3.1830000000000003,135.0,98.0,10.0,122.0,46.0,88.0,401.0,373.0,303.0,283.0,24.0,17.0
20190223,0,Baoji,Shanxi,121.0,1.238,1.3130000000000002,40.0,31.0,23.0,95.0,51.0,78.0,105.0,125.0,91.0,119.0,5.0,5.0
20190223,0,Baoshan,Yunnan,54.0,0.55,0.55,17.0,16.0,65.0,97.0,83.0,93.0,48.0,59.0,37.0,36.0,4.0,6.0
20190223,0,Baotou,Neimenggu,106.0,1.567,2.283,60.0,69.0,30.0,99.0,39.0,73.0,134.0,120.0,79.0,84.0,25.0,46.0
20190223,0,Bayannur,Neimenggu,65.0,0.6,1.033,22.0,39.0,48.0,102.0,58.0,89.0,77.0,110.0,46.0,71.0,26.0,38.0
20190223,0,Bazhong,Sichuan,94.0,1.025,0.875,44.0,30.0,31.0,99.0,52.0,86.0,98.0,85.0,70.0,58.0,5.0,5.0
20190223,0,Beihai,Guangxi,63.0,1.2,1.125,15.0,13.0,25.0,54.0,34.0,48.0,54.0,37.0,44.0,27.0,6.0,7.0
20190223,0,Beijing,Beijing,149.0,1.7080000000000002,1.258,79.0,58.0,16.0,76.0,30.0,60.0,87.0,83.0,114.0,95.0,7.0,6.0
20190223,0,Bengbu,Anhui,135.0,0.883,0.833,31.0,32.0,48.0,96.0,53.0,80.0,132.0,100.0,102.0,77.0,10.0,8.0
20190223,0,Benxi,Liaoning,195.0,2.1,2.333,59.0,60.0,20.0,96.0,42.0,69.0,196.0,152.0,146.0,116.0,14.0,32.0
20190223,0,Bijie,Guizhou,12.0,0.9,0.9,13.0,16.0,29.0,51.0,23.0,46.0,9.0,33.0,7.0,27.0,8.0,11.0
20190223,0,Binzhou,Shandong,246.0,2.2,1.567,65.0,72.0,69.0,136.0,102.0,127.0,197.0,160.0,195.0,137.0,41.0,37.0
20190223,0,Bozhou,Anhui,171.0,0.35,0.45,22.0,20.0,69.0,120.0,85.0,107.0,150.0,126.0,129.0,108.0,3.0,4.0
20190223,0,Cangzhou,Hebei,339.0,3.05,2.4,136.0,82.0,14.0,120.0,47.0,97.0,374.0,250.0,288.0,194.0,30.0,30.0
20190223,0,Changchun,Jilin,217.0,1.87,1.17,71.0,54.0,24.0,113.0,34.0,84.0,176.0,93.0,166.0,80.0,21.0,24.0
20190223,0,Changde,Hunan,105.0,0.98,1.2,18.0,21.0,79.0,107.0,88.0,100.0,96.0,91.0,78.0,84.0,7.0,6.0
20190223,0,Changsha,Hunan,113.0,0.85,0.93,31.0,26.0,65.0,81.0,70.0,73.0,,64.0,84.0,92.0,4.0,5.0
20190223,0,Changzhi,Shanxi,126.0,2.4,1.9,73.0,50.0,33.0,117.0,82.0,109.0,129.0,129.0,95.0,96.0,35.0,32.0
20190223,0,Changzhou,Jiangsu,85.0,1.0,0.989,50.0,43.0,24.0,64.0,36.0,49.0,75.0,69.0,62.0,53.0,9.0,11.0
20190223,0,Chaoyang,Liaoning,106.0,2.075,1.575,52.0,38.0,12.0,88.0,36.0,75.0,107.0,96.0,79.0,62.0,62.0,52.0
20190223,0,Chaozhou,Guangdong,31.0,1.0,0.933,10.0,10.0,45.0,77.0,61.0,66.0,18.0,23.0,7.0,14.0,7.0,7.0
20190223,0,Chengde,Hebei,66.0,1.42,1.28,55.0,43.0,9.0,88.0,24.0,59.0,79.0,70.0,44.0,34.0,17.0,16.0
20190223,0,Chengdu,Sichuan,110.0,1.078,1.222,66.0,64.0,22.0,39.0,26.0,30.0,119.0,116.0,82.0,78.0,6.0,11.0
20190223,0,Chenzhou,Hunan,60.0,1.08,0.94,20.0,16.0,36.0,61.0,45.0,55.0,58.0,38.0,42.0,25.0,4.0,5.0
20190223,0,Chifeng,Neimenggu,82.0,1.5,0.95,39.0,40.0,15.0,83.0,25.0,65.0,90.0,70.0,60.0,40.0,48.0,36.0
20190223,0,Chizhou,Anhui,94.0,0.7,0.6,56.0,32.0,28.0,79.0,46.0,72.0,83.0,53.0,70.0,32.0,4.0,4.0
20190223,0,Chongqing,Chongqing,104.0,1.12,1.119,57.0,47.0,15.0,55.0,30.0,45.0,109.0,99.0,77.0,72.0,10.0,11.0
20190223,0,Chongzuo,Guangxi,59.0,0.85,0.75,20.0,14.0,31.0,68.0,46.0,58.0,66.0,39.0,34.0,18.0,2.0,3.0
20190223,0,Chuzhou,Anhui,124.0,0.833,0.8,23.0,23.0,62.0,91.0,68.0,79.0,98.0,96.0,93.0,82.0,7.0,8.0
20190223,0,Dalian,Liaoning,94.0,0.93,1.58,34.0,50.0,65.0,123.0,74.0,106.0,92.0,156.0,70.0,138.0,20.0,25.0
20190223,0,Dandong,Liaoning,117.0,1.725,1.475,30.0,46.0,65.0,92.0,44.0,75.0,114.0,101.0,88.0,80.0,28.0,42.0
20190223,0,Daqing,Heilongjiang,46.0,0.52,0.36,28.0,23.0,49.0,78.0,54.0,71.0,45.0,43.0,23.0,25.0,18.0,9.0
20190223,0,Datong,Shanxi,100.0,2.783,3.35,60.0,54.0,12.0,73.0,30.0,58.0,105.0,98.0,75.0,66.0,50.0,52.0
20190223,0,Dazhou,Sichuan,126.0,1.24,0.96,70.0,46.0,39.0,113.0,56.0,91.0,141.0,105.0,95.0,75.0,8.0,6.0
20190223,0,Deyang,Sichuan,137.0,1.275,1.175,57.0,48.0,7.0,55.0,28.0,47.0,138.0,121.0,104.0,89.0,5.0,6.0
20190223,0,Dezhou,Shandong,248.0,2.0,1.8,119.0,71.0,14.0,144.0,63.0,130.0,238.0,223.0,197.0,175.0,30.0,23.0
20190223,0,Dingxi,Gansu,75.0,1.25,1.0,40.0,26.0,12.0,76.0,37.0,66.0,76.0,76.0,54.0,52.0,10.0,12.0
20190223,0,Dongguan,Guangdong,29.0,1.04,1.06,20.0,24.0,41.0,63.0,50.0,53.0,24.0,21.0,20.0,11.0,7.0,7.0
20190223,0,Dongying,Shandong,265.0,1.8,1.5,58.0,60.0,47.0,165.0,103.0,143.0,259.0,159.0,214.0,127.0,15.0,31.0
20190223,0,Ezhou,Hubei,78.0,1.15,0.9,52.0,29.0,4.0,65.0,26.0,58.0,98.0,63.0,57.0,44.0,4.0,4.0
20190223,0,Fangchenggang,Guangxi,60.0,1.133,1.167,17.0,14.0,31.0,49.0,42.0,46.0,46.0,35.0,42.0,23.0,5.0,6.0
20190223,0,Foshan,Guangdong,27.0,1.162,1.1,35.0,29.0,18.0,72.0,37.0,55.0,26.0,25.0,16.0,12.0,5.0,6.0
20190223,0,Fushun,Liaoning,198.0,1.883,1.867,63.0,59.0,23.0,97.0,42.0,80.0,194.0,160.0,148.0,122.0,29.0,40.0
20190223,0,Fuxin,Liaoning,83.0,1.02,0.86,43.0,32.0,23.0,84.0,42.0,79.0,93.0,77.0,61.0,55.0,53.0,55.0
20190223,0,Fuyang,Anhui,113.0,0.7,0.7,31.0,26.0,50.0,101.0,68.0,88.0,99.0,97.0,84.0,77.0,2.0,3.0
20190223,0,Fuzhou,Jiangxi,45.0,0.8,0.74,8.0,12.0,33.0,45.0,35.0,41.0,40.0,35.0,31.0,25.0,4.0,6.0
20190223,0,Ganzhou,Jiangxi,33.0,1.46,1.6,7.0,13.0,62.0,73.0,65.0,66.0,18.0,16.0,13.0,9.0,4.0,4.0
20190223,0,Guang'an,Sichuan,115.0,1.08,1.083,37.0,28.0,40.0,67.0,47.0,55.0,121.0,100.0,86.0,73.0,7.0,10.0
20190223,0,Guangyuan,Sichuan,61.0,1.0,1.125,22.0,34.0,57.0,68.0,53.0,60.0,64.0,73.0,43.0,50.0,6.0,6.0
20190223,0,Guangzhou,Guangdong,24.0,1.064,1.082,31.0,27.0,21.0,79.0,40.0,62.0,23.0,23.0,15.0,16.0,4.0,4.0
20190223,0,Guigang,Guangxi,55.0,0.925,0.825,17.0,12.0,28.0,40.0,31.0,36.0,36.0,26.0,38.0,20.0,6.0,6.0
20190223,0,Guilin,Guangxi,48.0,0.825,0.775,13.0,13.0,64.0,66.0,61.0,62.0,32.0,27.0,33.0,25.0,5.0,5.0
20190223,0,Guiyang,Guizhou,25.0,0.6,0.64,14.0,18.0,39.0,61.0,41.0,52.0,21.0,48.0,17.0,33.0,4.0,11.0
20190223,0,Guyuan,Ningxia,52.0,0.8,0.833,42.0,26.0,46.0,95.0,68.0,88.0,51.0,54.0,27.0,36.0,9.0,7.0
20190223,0,Haikou,Hainan,26.0,0.52,0.62,9.0,11.0,32.0,62.0,48.0,49.0,25.0,32.0,12.0,15.0,4.0,4.0
20190223,0,Handan,Hebei,232.0,2.325,2.85,96.0,69.0,4.0,126.0,51.0,91.0,275.0,344.0,181.0,248.0,17.0,16.0
20190223,0,Hangzhou,Zhejiang,55.0,0.955,0.8909999999999999,25.0,28.0,46.0,70.0,44.0,57.0,47.0,41.0,38.0,34.0,7.0,7.0
20190223,0,Hanzhong,Shanxi,113.0,1.4,1.15,45.0,31.0,14.0,86.0,44.0,69.0,146.0,101.0,84.0,67.0,10.0,9.0
20190223,0,Harbin,Heilongjiang,42.0,0.785,0.985,34.0,40.0,43.0,80.0,45.0,69.0,41.0,96.0,28.0,65.0,20.0,27.0
20190223,0,Hebi,Henan,249.0,1.533,2.133,68.0,64.0,31.0,135.0,56.0,97.0,241.0,266.0,198.0,229.0,7.0,13.0
20190223,0,Hechi,Guangxi,36.0,0.667,0.667,11.0,10.0,34.0,58.0,38.0,54.0,29.0,33.0,25.0,27.0,6.0,7.0
20190223,0,Hefei,Anhui,71.0,0.76,0.68,54.0,43.0,21.0,64.0,27.0,48.0,56.0,49.0,51.0,45.0,3.0,2.0
20190223,0,Hegang,Heilongjiang,40.0,0.275,0.475,3.0,10.0,76.0,89.0,78.0,84.0,24.0,44.0,13.0,28.0,4.0,9.0
20190223,0,Heihe,Heilongjiang,42.0,0.6,0.5329999999999999,17.0,11.0,41.0,75.0,50.0,69.0,41.0,36.0,13.0,13.0,9.0,10.0
20190223,0,Hengshui,Hebei,285.0,2.367,1.6669999999999998,85.0,58.0,31.0,128.0,76.0,113.0,293.0,236.0,234.0,195.0,16.0,16.0
20190223,0,Hengyang,Hunan,111.0,0.867,0.95,29.0,32.0,36.0,62.0,36.0,50.0,79.0,59.0,83.0,65.0,13.0,11.0
20190223,0,Heyuan,Guangdong,25.0,1.233,1.3330000000000002,15.0,14.0,44.0,70.0,48.0,57.0,17.0,13.0,10.0,7.0,5.0,4.0
20190223,0,Heze,Shandong,213.0,1.967,1.6669999999999998,79.0,50.0,11.0,142.0,62.0,118.0,240.0,242.0,162.0,188.0,13.0,13.0
20190223,0,Hezhou,Guangxi,31.0,0.4,0.45,10.0,11.0,45.0,58.0,47.0,53.0,30.0,22.0,21.0,14.0,8.0,8.0
20190223,0,Hohhot,Neimenggu,100.0,2.15,2.088,92.0,75.0,10.0,91.0,30.0,64.0,120.0,101.0,75.0,73.0,34.0,32.0
20190223,0,Huaibei,Anhui,219.0,1.2,1.2,34.0,40.0,60.0,89.0,50.0,75.0,184.0,169.0,168.0,143.0,8.0,11.0
20190223,0,Huaihua,Hunan,69.0,0.78,1.06,7.0,15.0,55.0,60.0,51.0,53.0,69.0,67.0,49.0,47.0,2.0,5.0
20190223,0,Huainan,Anhui,104.0,0.767,0.733,27.0,27.0,61.0,90.0,62.0,75.0,96.0,87.0,77.0,71.0,10.0,9.0
20190223,0,Huanggang,Hubei,74.0,0.7,0.65,37.0,20.0,29.0,76.0,34.0,70.0,78.0,61.0,53.0,40.0,2.0,2.0
20190223,0,Huangshan,Anhui,51.0,0.9,0.8,15.0,17.0,56.0,65.0,54.0,60.0,50.0,20.0,33.0,13.0,12.0,10.0
20190223,0,Huangshi,Hubei,77.0,1.167,1.05,36.0,29.0,29.0,70.0,31.0,58.0,84.0,71.0,56.0,49.0,5.0,6.0
20190223,0,Huizhou,Guangdong,31.0,0.96,0.86,15.0,14.0,43.0,83.0,61.0,73.0,19.0,20.0,11.0,9.0,6.0,6.0
20190223,0,Huludao,Liaoning,168.0,2.35,2.9,78.0,76.0,16.0,78.0,26.0,61.0,192.0,164.0,127.0,131.0,66.0,121.0
20190223,0,Hulunbuir,Neimenggu,36.0,0.35,0.4,17.0,14.0,52.0,85.0,57.0,76.0,29.0,24.0,25.0,16.0,2.0,3.0
