date,hour,location,province,AQI,CO,CO_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,PM10,PM10_24h,PM2_5,PM2_5_24h,SO2,SO2_24h
20200328,0,Dandong,Liaoning,36.0,0.38,0.38,5.0,5.0,73.0,82.0,76.0,80.0,36.0,27.0,6.0,5.0,10.0,10.0
20200328,0,Daqing,Heilongjiang,24.0,0.38,0.4,8.0,10.0,62.0,85.0,69.0,83.0,22.0,39.0,17.0,19.0,6.0,11.0
20200328,0,Datong,Shanxi,29.0,0.65,0.72,27.0,21.0,38.0,88.0,61.0,83.0,29.0,36.0,12.0,15.0,17.0,20.0
20200328,0,Dazhou,Sichuan,19.0,0.43,0.38,38.0,18.0,27.0,63.0,41.0,54.0,14.0,46.0,5.0,17.0,10.0,10.0
20200328,0,Deyang,Sichuan,19.0,0.35,0.35,12.0,15.0,60.0,100.0,73.0,89.0,12.0,31.0,9.0,12.0,4.0,4.0
20200328,0,Dezhou,Shandong,56.0,0.53,0.33,41.0,15.0,37.0,96.0,67.0,91.0,61.0,34.0,24.0,7.0,6.0,4.0
20200328,0,Dingxi,Gansu,42.0,0.65,0.55,29.0,33.0,57.0,90.0,64.0,75.0,42.0,43.0,25.0,20.0,3.0,5.0
20200328,0,Dongguan,Guangdong,53.0,0.62,0.56,28.0,32.0,25.0,72.0,36.0,58.0,56.0,40.0,34.0,25.0,7.0,8.0
20200328,0,Dongying,Shandong,47.0,0.38,0.3,59.0,23.0,17.0,86.0,50.0,83.0,47.0,40.0,19.0,11.0,13.0,10.0
20200328,0,Ezhou,Hubei,26.0,0.73,0.63,13.0,13.0,47.0,62.0,57.0,59.0,22.0,21.0,18.0,10.0,6.0,7.0
20200328,0,Fangchenggang,Guangxi,55.0,0.7,0.53,23.0,17.0,8.0,49.0,33.0,46.0,60.0,44.0,22.0,17.0,6.0,7.0
20200328,0,Foshan,Guangdong,24.0,0.63,0.55,34.0,29.0,38.0,74.0,45.0,58.0,16.0,29.0,17.0,16.0,4.0,5.0
20200328,0,Fushun,Liaoning,63.0,0.44,0.38,28.0,15.0,39.0,88.0,66.0,83.0,76.0,54.0,18.0,18.0,12.0,11.0
20200328,0,Fuxin,Liaoning,52.0,0.42,0.36,20.0,11.0,46.0,83.0,66.0,82.0,53.0,63.0,15.0,11.0,6.0,6.0
20200328,0,Fuyang,Anhui,39.0,0.53,0.47,10.0,18.0,64.0,64.0,47.0,48.0,32.0,39.0,27.0,22.0,5.0,5.0
20200328,0,Fuzhou,Jiangxi,20.0,0.38,0.42,12.0,12.0,57.0,85.0,53.0,70.0,20.0,23.0,11.0,14.0,5.0,5.0
20200328,0,Ganzhou,Jiangxi,34.0,1.02,1.0,20.0,25.0,35.0,68.0,43.0,52.0,34.0,38.0,22.0,22.0,7.0,9.0
20200328,0,Guang'an,Sichuan,16.0,0.5,0.43,6.0,8.0,52.0,70.0,55.0,65.0,13.0,64.0,8.0,18.0,4.0,4.0
20200328,0,Guangyuan,Sichuan,22.0,0.27,0.2,24.0,15.0,39.0,80.0,60.0,76.0,22.0,20.0,10.0,8.0,10.0,10.0
20200328,0,Guangzhou,Guangdong,26.0,0.76,0.65,51.0,39.0,13.0,69.0,39.0,54.0,19.0,31.0,12.0,15.0,5.0,6.0
20200328,0,Guigang,Guangxi,71.0,1.03,0.97,37.0,35.0,3.0,28.0,9.0,16.0,92.0,70.0,47.0,37.0,9.0,9.0
20200328,0,Guilin,Guangxi,12.0,0.63,0.83,12.0,20.0,39.0,62.0,40.0,47.0,4.0,27.0,3.0,21.0,6.0,8.0
20200328,0,Guiyang,Guizhou,40.0,0.66,0.62,11.0,15.0,48.0,104.0,73.0,88.0,40.0,63.0,24.0,40.0,6.0,9.0
20200328,0,Guyuan,Ningxia,38.0,0.6,0.65,24.0,29.0,58.0,93.0,75.0,90.0,38.0,41.0,19.0,17.0,7.0,7.0
20200328,0,Haikou,Hainan,19.0,0.45,0.53,9.0,7.0,41.0,78.0,47.0,67.0,19.0,25.0,9.0,12.0,4.0,3.0
20200328,0,Handan,Hebei,57.0,0.5,0.33,66.0,23.0,11.0,88.0,57.0,84.0,64.0,38.0,24.0,16.0,4.0,5.0
20200328,0,Hangzhou,Zhejiang,25.0,0.44,0.57,22.0,29.0,64.0,64.0,52.0,52.0,25.0,28.0,7.0,12.0,4.0,4.0
20200328,0,Hanzhong,Shanxi,13.0,0.53,0.6,15.0,17.0,43.0,66.0,50.0,55.0,10.0,21.0,3.0,11.0,5.0,7.0
20200328,0,Harbin,Heilongjiang,30.0,0.45,0.4,19.0,13.0,49.0,84.0,61.0,80.0,30.0,42.0,14.0,17.0,13.0,10.0
20200328,0,Hebi,Henan,63.0,0.6,0.6,60.0,27.0,12.0,84.0,49.0,79.0,75.0,41.0,26.0,20.0,5.0,8.0
20200328,0,Hechi,Guangxi,18.0,0.7,0.65,9.0,14.0,58.0,102.0,77.0,85.0,15.0,47.0,8.0,29.0,7.0,7.0
20200328,0,Hefei,Anhui,29.0,0.4,0.38,22.0,19.0,56.0,71.0,62.0,67.0,29.0,28.0,20.0,12.0,4.0,5.0
20200328,0,Hegang,Heilongjiang,35.0,0.47,0.47,5.0,4.0,59.0,74.0,66.0,72.0,35.0,36.0,22.0,18.0,8.0,7.0
20200328,0,Heihe,Heilongjiang,27.0,0.25,0.3,6.0,7.0,74.0,84.0,75.0,79.0,27.0,24.0,16.0,12.0,7.0,6.0
20200328,0,Hengshui,Hebei,55.0,0.37,0.33,63.0,28.0,18.0,100.0,65.0,94.0,60.0,30.0,26.0,14.0,7.0,6.0
20200328,0,Hengyang,Hunan,16.0,0.36,0.54,10.0,13.0,51.0,68.0,42.0,43.0,6.0,13.0,4.0,8.0,5.0,5.0
20200328,0,Heyuan,Guangdong,16.0,0.6,0.6,22.0,22.0,51.0,81.0,66.0,74.0,10.0,27.0,9.0,17.0,5.0,7.0
20200328,0,Heze,Shandong,58.0,0.3,0.23,51.0,20.0,21.0,82.0,54.0,79.0,66.0,51.0,22.0,10.0,15.0,9.0
20200328,0,Hezhou,Guangxi,10.0,0.45,0.55,9.0,13.0,33.0,114.0,46.0,97.0,9.0,21.0,7.0,18.0,7.0,8.0
20200328,0,Hohhot,Neimenggu,41.0,1.0,0.62,48.0,20.0,24.0,87.0,64.0,65.0,41.0,26.0,16.0,10.0,11.0,9.0
20200328,0,Huaibei,Anhui,55.0,0.53,0.4,27.0,18.0,43.0,79.0,58.0,70.0,60.0,41.0,29.0,17.0,9.0,7.0
20200328,0,Huaihua,Hunan,18.0,0.37,0.7,7.0,8.0,56.0,88.0,52.0,57.0,10.0,25.0,8.0,14.0,5.0,5.0
20200328,0,Huainan,Anhui,59.0,0.36,0.32,17.0,17.0,77.0,84.0,74.0,74.0,56.0,42.0,42.0,23.0,6.0,8.0
20200328,0,Huanggang,Hubei,31.0,0.6,0.45,14.0,11.0,45.0,65.0,59.0,61.0,31.0,27.0,18.0,11.0,7.0,10.0
20200328,0,Huangshan,Anhui,25.0,0.33,0.5,13.0,15.0,80.0,85.0,68.0,71.0,16.0,14.0,8.0,9.0,10.0,8.0
20200328,0,Huangshi,Hubei,29.0,0.88,0.92,11.0,15.0,53.0,58.0,55.0,55.0,25.0,16.0,20.0,11.0,7.0,6.0
20200328,0,Huizhou,Guangdong,25.0,0.5,0.44,23.0,19.0,35.0,80.0,52.0,71.0,25.0,34.0,15.0,18.0,6.0,7.0
20200328,0,Huludao,Liaoning,47.0,0.43,0.45,24.0,19.0,52.0,87.0,69.0,83.0,47.0,81.0,9.0,12.0,9.0,13.0
20200328,0,Hulunbuir,Neimenggu,20.0,0.25,0.2,5.0,6.0,64.0,80.0,71.0,77.0,14.0,21.0,11.0,15.0,3.0,3.0
20200328,0,Huzhou,Zhejiang,25.0,0.57,0.6,9.0,18.0,81.0,81.0,76.0,76.0,21.0,28.0,5.0,8.0,4.0,4.0
20200328,0,Ji'an,Jiangxi,23.0,0.53,0.63,18.0,24.0,39.0,60.0,34.0,39.0,23.0,34.0,11.0,17.0,8.0,13.0
20200328,0,Jiamusi,Heilongjiang,20.0,0.3,0.3,6.0,5.0,63.0,79.0,68.0,76.0,20.0,34.0,11.0,11.0,5.0,5.0
20200328,0,Jiangmen,Guangdong,20.0,0.5,0.57,11.0,19.0,63.0,69.0,48.0,58.0,9.0,31.0,9.0,13.0,5.0,5.0
20200328,0,Jiaozuo,Henan,57.0,0.43,0.53,46.0,25.0,26.0,71.0,42.0,64.0,63.0,46.0,28.0,25.0,19.0,15.0
20200328,0,Jiaxing,Zhejiang,26.0,0.5,0.57,17.0,21.0,78.0,79.0,75.0,75.0,26.0,21.0,6.0,10.0,5.0,5.0
20200328,0,Jiayuguan,Gansu,57.0,0.3,0.3,14.0,13.0,72.0,88.0,78.0,85.0,64.0,45.0,19.0,13.0,6.0,6.0
20200328,0,Jieyang,Guangdong,56.0,0.93,0.82,26.0,21.0,20.0,99.0,43.0,77.0,62.0,59.0,36.0,42.0,16.0,9.0
20200328,0,Jilin,Jilin,61.0,0.5,0.52,11.0,11.0,63.0,85.0,69.0,80.0,72.0,61.0,10.0,16.0,9.0,9.0
20200328,0,Jinan,Shandong,52.0,0.47,0.48,50.0,23.0,26.0,94.0,57.0,84.0,54.0,41.0,17.0,12.0,7.0,7.0
20200328,0,Jinchang,Gansu,68.0,0.65,0.5,12.0,8.0,90.0,108.0,94.0,97.0,85.0,54.0,20.0,14.0,27.0,12.0
20200328,0,Jincheng,Shanxi,61.0,0.7,0.84,33.0,21.0,37.0,67.0,49.0,59.0,71.0,63.0,28.0,30.0,12.0,6.0
20200328,0,Jingdezhen,Jiangxi,16.0,0.22,0.53,7.0,10.0,52.0,52.0,46.0,47.0,6.0,17.0,8.0,10.0,5.0,6.0
20200328,0,Jingmen,Hubei,25.0,0.33,0.33,6.0,8.0,79.0,79.0,73.0,73.0,9.0,20.0,8.0,8.0,6.0,7.0
20200328,0,Jingzhou,Hubei,19.0,0.43,0.5,8.0,11.0,62.0,63.0,60.0,60.0,13.0,25.0,8.0,10.0,3.0,3.0
20200328,0,Jinhua,Zhejiang,16.0,0.37,0.6,20.0,24.0,52.0,52.0,37.0,37.0,14.0,22.0,8.0,11.0,2.0,3.0
20200328,0,Jining,Shandong,45.0,0.45,0.45,30.0,20.0,60.0,88.0,64.0,84.0,45.0,38.0,14.0,9.0,9.0,7.0
20200328,0,Jinzhong,Shanxi,33.0,0.32,0.32,52.0,30.0,26.0,74.0,53.0,68.0,33.0,34.0,15.0,15.0,11.0,15.0
20200328,0,Jinzhou,Liaoning,63.0,0.68,0.54,30.0,15.0,39.0,81.0,61.0,77.0,76.0,91.0,25.0,15.0,10.0,13.0
20200328,0,Jiujiang,Jiangxi,21.0,0.52,0.41,10.0,14.0,67.0,68.0,62.0,62.0,18.0,20.0,12.0,10.0,7.0,8.0
20200328,0,Jiuquan,Gansu,32.0,0.4,0.4,9.0,10.0,81.0,91.0,82.0,88.0,32.0,45.0,16.0,16.0,5.0,5.0
20200328,0,Jixi,Heilongjiang,31.0,0.3,0.4,13.0,13.0,85.0,85.0,81.0,81.0,31.0,36.0,10.0,13.0,5.0,5.0
20200328,0,Kaifeng,Henan,51.0,0.4,0.5,49.0,19.0,25.0,75.0,53.0,71.0,51.0,39.0,18.0,11.0,5.0,6.0
