date,hour,location,province,AQI,CO,CO_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,PM10,PM10_24h,PM2.5,PM2.5_24h,SO2,SO2_24h
20200122,4,Changsha,Hunan,69.0,1.0,1.1,18.0,36.0,36.0,48.0,37.0,38.0,31.0,67.0,50.0,67.0,1.0,3.0
20200122,4,Chongqing,Chongqing,64.0,0.65,0.75,28.0,33.0,9.0,45.0,9.0,9.0,61.0,83.0,46.0,61.0,7.0,9.0
20200122,4,Quanzhou,Fujian,91.0,0.5,0.4,19.0,18.0,82.0,148.0,82.0,82.0,59.0,54.0,68.0,50.0,4.0,5.0
20200122,4,Shantou,Guangdong,70.0,0.6,0.6,17.0,17.0,97.0,136.0,97.0,97.0,56.0,42.0,51.0,32.0,10.0,8.0
20200122,4,Xianning,Hubei,79.0,1.3,1.4,18.0,24.0,25.0,62.0,25.0,25.0,47.0,79.0,58.0,70.0,6.0,7.0
20200122,4,Xinzhou,Shanxi,156.0,2.0,1.5,43.0,49.0,7.0,52.0,7.0,7.0,150.0,96.0,119.0,71.0,18.0,39.0
20200122,4,Yangquan,Shanxi,86.0,2.0,2.0,48.0,49.0,,44.0,,,107.0,126.0,64.0,61.0,26.0,29.0
20200122,4,Yantai,Shandong,37.0,0.8,0.7,24.0,28.0,49.0,73.0,49.0,49.0,37.0,49.0,24.0,26.0,7.0,10.0
20200122,4,Yinchuan,Ningxia,69.0,2.0,1.9,77.0,50.0,6.0,85.0,6.0,6.0,73.0,107.0,50.0,66.0,19.0,27.0
20200122,4,Yueyang,Hunan,53.0,0.77,1.07,13.0,34.0,51.0,51.0,51.0,51.0,40.0,82.0,37.0,71.0,4.0,6.0
20200122,4,Yuncheng,Shanxi,218.0,2.2,1.3,61.0,32.0,14.0,94.0,14.0,14.0,184.0,140.0,168.0,98.0,23.0,17.0
20200122,4,Zaozhuang,Shandong,94.0,1.1,1.2,19.0,24.0,49.0,99.0,49.0,49.0,121.0,153.0,70.0,104.0,17.0,15.0
20200122,4,Zhanjiang,Guangdong,38.0,0.8,0.9,2.0,7.0,87.0,126.0,87.0,87.0,38.0,36.0,16.0,27.0,4.0,5.0
20200122,4,Zhongshan,Guangdong,46.0,0.8,0.95,19.0,29.0,61.0,107.0,61.0,61.0,38.0,48.0,32.0,35.0,1.0,4.0
20200122,4,Zhongwei,Ningxia,38.0,0.5,0.6,17.0,26.0,67.0,107.0,67.0,67.0,38.0,45.0,22.0,35.0,8.0,13.0
20200122,4,Zhuzhou,Hunan,80.0,0.9,1.3,26.0,41.0,26.0,53.0,26.0,26.0,61.0,90.0,59.0,79.0,11.0,11.0
20200122,4,Zibo,Shandong,115.0,3.8,1.6,44.0,49.0,23.0,90.0,23.0,23.0,138.0,156.0,87.0,96.0,23.0,20.0
20200122,4,Ziyang,Sichuan,91.0,0.9,1.0,37.0,32.0,20.0,102.0,20.0,20.0,98.0,95.0,68.0,74.0,5.0,6.0
20200122,4,Zunyi,Guizhou,19.0,0.7,0.6,20.0,17.0,17.0,53.0,17.0,17.0,11.0,12.0,13.0,8.0,15.0,8.0
20200122,5,Changsha,Hunan,65.0,1.02,1.18,16.0,37.0,39.0,55.0,39.0,39.0,27.0,62.0,47.0,66.0,4.0,6.0
20200122,5,Chongqing,Chongqing,74.0,0.96,1.02,34.0,37.0,11.0,38.0,11.0,11.0,72.0,78.0,54.0,59.0,8.0,8.0
20200122,5,Quanzhou,Fujian,109.0,0.73,0.53,26.0,21.0,61.0,144.0,64.0,67.0,78.0,54.0,82.0,50.0,5.0,5.0
20200122,5,Shantou,Guangdong,73.0,0.7,0.72,15.0,14.0,93.0,134.0,93.0,93.0,56.0,43.0,53.0,34.0,8.0,7.0
20200122,5,Xianning,Hubei,83.0,1.33,1.3,19.0,23.0,25.0,63.0,25.0,25.0,45.0,75.0,61.0,73.0,5.0,6.0
20200122,5,Xinzhou,Shanxi,124.0,1.57,1.43,46.0,52.0,7.0,50.0,7.0,7.0,108.0,101.0,94.0,82.0,20.0,48.0
20200122,5,Yangquan,Shanxi,96.0,2.02,1.72,60.0,53.0,12.0,45.0,12.0,12.0,109.0,97.0,72.0,54.0,38.0,29.0
20200122,5,Yantai,Shandong,29.0,0.55,0.68,20.0,26.0,60.0,75.0,60.0,60.0,29.0,44.0,17.0,22.0,7.0,11.0
20200122,5,Yinchuan,Ningxia,91.0,1.82,1.8,72.0,61.0,9.0,68.0,9.0,9.0,97.0,102.0,68.0,68.0,17.0,24.0
20200122,5,Yueyang,Hunan,58.0,0.98,1.06,15.0,31.0,44.0,55.0,48.0,51.0,40.0,78.0,41.0,70.0,5.0,6.0
20200122,5,Yuncheng,Shanxi,194.0,2.14,1.18,48.0,27.0,13.0,100.0,13.0,13.0,174.0,112.0,146.0,82.0,20.0,12.0
20200122,5,Zaozhuang,Shandong,93.0,1.06,1.14,31.0,27.0,44.0,98.0,47.0,50.0,113.0,151.0,69.0,101.0,16.0,19.0
20200122,5,Zhanjiang,Guangdong,40.0,0.73,0.85,5.0,9.0,86.0,133.0,86.0,87.0,40.0,38.0,18.0,28.0,4.0,5.0
20200122,5,Zhongshan,Guangdong,50.0,0.83,0.97,15.0,31.0,72.0,102.0,71.0,71.0,35.0,46.0,35.0,36.0,4.0,4.0
20200122,5,Zhongwei,Ningxia,33.0,0.5,0.65,17.0,26.0,64.0,108.0,66.0,68.0,33.0,44.0,21.0,35.0,8.0,14.0
20200122,5,Zhuzhou,Hunan,76.0,0.78,1.0,23.0,36.0,25.0,54.0,25.0,25.0,54.0,85.0,56.0,74.0,6.0,10.0
20200122,5,Zibo,Shandong,108.0,1.87,1.25,40.0,37.0,36.0,100.0,37.0,38.0,120.0,131.0,81.0,86.0,18.0,20.0
20200122,5,Ziyang,Sichuan,100.0,0.85,0.88,24.0,26.0,28.0,103.0,28.0,28.0,98.0,105.0,75.0,77.0,6.0,6.0
