date,hour,province,AQI,CO,CO_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,PM10,PM10_24h,PM2_5,PM2_5_24h,SO2,SO2_24h
20190226,0,Anhui,196.1875,1.339,1.2458125000000002,67.1875,61.6875,60.6875,151.25,92.75,131.375,197.46666666666667,159.6875,153.4375,128.375,13.0625,14.875
20190226,0,Beijing,60.0,0.708,0.9079999999999999,54.0,46.0,19.0,73.0,39.0,66.0,67.0,70.0,41.0,47.0,8.0,8.0
20190226,0,Chongqing,78.0,0.841,0.7759999999999999,53.0,42.0,27.0,68.0,37.0,53.0,84.0,66.0,57.0,47.0,9.0,7.0
20190226,0,Fujian,33.5,0.707875,0.84125,15.25,18.75,50.25,76.75,52.875,63.875,29.625,28.5,20.75,18.375,7.25,6.125
20190226,0,Gansu,87.08333333333331,0.9014166666666666,0.8041666666666667,31.5,26.41666666666667,49.41666666666666,91.41666666666669,66.66666666666667,81.33333333333333,107.66666666666669,111.83333333333331,54.58333333333334,47.33333333333334,9.666666666666666,12.666666666666664
20190226,0,Guangdong,39.57142857142857,1.0519047619047621,1.0795714285714286,24.952380952380953,22.523809523809533,27.619047619047624,45.14285714285714,30.095238095238088,38.142857142857146,32.85,30.904761904761905,24.619047619047624,21.571428571428577,6.3809523809523805,6.9523809523809526
20190226,0,Guangxi,51.46153846153846,0.9275384615384614,0.8971538461538463,17.923076923076927,15.769230769230768,29.538461538461537,51.92307692307693,34.384615384615394,45.846153846153854,44.384615384615394,37.230769230769226,35.153846153846146,27.153846153846153,7.153846153846153,7.230769230769232
20190226,0,Guizhou,53.0,0.7220000000000001,0.7374,20.0,20.0,41.6,69.0,46.2,59.6,49.0,42.0,37.0,31.4,12.6,15.2
20190226,0,Hainan,33.0,0.77,0.78,15.5,11.5,28.5,72.0,44.5,58.5,32.0,33.5,15.5,18.5,3.0,3.0
20190226,0,Hebei,114.63636363636364,1.3164545454545455,1.6018181818181818,62.45454545454545,58.72727272727273,25.09090909090909,100.1818181818182,48.72727272727273,84.72727272727273,127.8181818181818,150.54545454545453,83.45454545454545,100.72727272727272,21.63636363636364,27.272727272727273
20190226,0,Heilongjiang,83.16666666666667,0.6752500000000001,0.5726666666666665,22.16666666666667,16.833333333333332,52.83333333333334,80.91666666666667,58.66666666666666,73.75,79.66666666666667,63.25,57.33333333333334,47.0,14.0,10.166666666666666
20190226,0,Henan,242.4705882352941,1.7137058823529412,1.5801764705882353,73.41176470588233,59.470588235294116,55.29411764705882,153.17647058823533,91.11764705882355,131.76470588235293,240.82352941176467,218.35294117647058,196.94117647058826,176.70588235294116,18.764705882352946,18.88235294117647
20190226,0,Hubei,142.1818181818182,1.432090909090909,1.2459090909090909,56.63636363636363,45.18181818181818,34.63636363636363,94.45454545454544,57.90909090909091,76.36363636363636,146.9090909090909,127.27272727272728,107.45454545454544,91.54545454545456,10.909090909090908,12.636363636363635
20190226,0,Hunan,69.07692307692308,1.1115384615384616,1.025,38.0,30.23076923076923,27.461538461538463,92.30769230769229,53.53846153846154,79.69230769230771,68.61538461538461,63.30769230769231,47.92307692307693,48.07692307692307,7.461538461538463,8.692307692307693
20190226,0,Jiangsu,110.0,0.9362,1.2289,39.6,59.3,64.7,149.2,83.0,124.8,110.88888888888887,136.7,80.6,100.4,8.9,15.1
20190226,0,Jiangxi,86.8,0.9979,0.9955000000000002,31.8,26.5,27.7,67.0,41.1,55.5,87.5,69.1,63.3,47.8,10.4,12.3
20190226,0,Jilin,77.625,0.952125,0.793625,33.75,20.5,38.625,88.125,51.5,79.375,80.125,66.125,55.75,41.25,18.875,14.625
20190226,0,Liaoning,72.21428571428571,1.009285714285714,0.7825714285714287,47.85714285714285,33.07142857142857,28.92857142857143,87.2857142857143,45.07142857142857,76.57142857142857,74.42857142857143,60.07142857142857,51.214285714285715,35.07142857142857,30.285714285714285,22.92857142857143
20190226,0,Neimenggu,63.0,0.8801818181818182,0.6920909090909091,35.0,25.72727272727273,45.09090909090909,87.81818181818181,58.09090909090909,78.0909090909091,65.0909090909091,45.72727272727273,42.63636363636363,25.90909090909091,16.454545454545453,17.0
20190226,0,Ningxia,96.4,1.3382,1.008,54.0,42.0,42.2,101.2,68.2,89.2,113.2,87.4,66.8,51.4,46.6,24.4
20190226,0,Qinghai,56.0,0.95,1.15,24.0,29.0,72.0,97.0,76.0,88.0,59.0,58.0,37.0,38.0,11.0,12.0
20190226,0,Shandong,116.35294117647058,1.172588235294118,1.453176470588235,60.82352941176471,68.70588235294117,41.352941176470594,129.41176470588235,70.41176470588233,109.94117647058823,144.58823529411762,188.05882352941174,84.47058823529412,124.88235294117645,24.117647058823533,29.882352941176467
20190226,0,Shanghai,93.0,0.87,1.16,59.0,78.0,58.0,102.0,65.0,83.0,73.0,71.0,69.0,79.0,4.0,7.0
20190226,0,Shanxi,158.0952380952381,1.5255238095238102,1.4379047619047622,53.85714285714285,50.38095238095239,65.80952380952381,124.04761904761904,85.80952380952381,105.76190476190477,166.85714285714286,142.57142857142858,119.8095238095238,100.23809523809523,30.523809523809533,28.761904761904763
20190226,0,Sichuan,76.6111111111111,0.9523888888888891,0.8632222222222223,39.111111111111114,33.77777777777778,28.11111111111111,68.3888888888889,38.388888888888886,52.77777777777778,76.66666666666667,65.8888888888889,54.77777777777778,48.33333333333334,8.277777777777779,8.944444444444445
20190226,0,Tianjin,41.0,0.95,1.528,69.0,65.0,14.0,73.0,25.0,46.0,40.0,68.0,21.0,48.0,16.0,23.0
