date,hour,province,AQI,CO,CO_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,PM10,PM10_24h,PM2.5,PM2.5_24h,SO2,SO2_24h
20190321,0,Anhui,83.9375,0.947125,0.8178749999999999,43.375,30.0,37.4375,98.625,55.0,78.375,81.9375,68.875,61.25,41.625,9.0625,9.375
20190321,0,Beijing,54.0,0.242,0.642,6.0,37.0,62.0,100.0,60.0,84.0,55.0,100.0,9.0,63.0,2.0,5.0
20190321,0,Chongqing,72.0,0.895,0.823,58.0,43.0,56.0,152.0,97.0,128.0,86.0,82.0,52.0,55.0,11.0,11.0
20190321,0,Fujian,63.125,0.886625,0.784625,37.5,27.125,24.0,108.25,51.75,91.75,69.5,60.5,40.5,37.75,8.875,7.625
20190321,0,Gansu,86.5,0.3764166666666667,0.40416666666666656,12.166666666666666,13.083333333333334,80.83333333333333,102.33333333333333,88.58333333333333,97.16666666666667,120.66666666666667,131.25,30.416666666666668,29.916666666666668,8.583333333333334,8.083333333333334
20190321,0,Guangdong,51.19047619047619,0.8068571428571426,0.7272380952380954,28.142857142857142,23.38095238095238,34.38095238095238,78.9047619047619,49.19047619047619,68.0952380952381,51.714285714285715,47.904761904761905,32.333333333333336,29.761904761904763,7.285714285714286,6.809523809523809
20190321,0,Guangxi,54.23076923076923,0.9723846153846153,0.9884615384615386,24.76923076923077,22.615384615384617,29.923076923076923,68.53846153846153,41.30769230769231,56.61538461538461,59.30769230769231,55.69230769230769,34.76923076923077,33.76923076923077,8.23076923076923,9.846153846153847
20190321,0,Guizhou,57.4,0.5574,0.567,25.0,19.2,78.8,128.4,95.8,116.0,55.4,48.0,30.4,25.6,14.2,12.8
20190321,0,Hainan,23.0,0.48,0.47,9.0,10.0,34.5,68.5,43.5,59.5,22.0,28.5,13.0,14.5,3.0,3.0
20190321,0,Hebei,78.0,0.5077272727272728,0.8080909090909092,19.90909090909091,29.545454545454547,65.63636363636364,132.45454545454547,86.72727272727273,114.18181818181819,95.9090909090909,107.36363636363636,40.09090909090909,58.27272727272727,6.909090909090909,14.090909090909092
