date,hour,location,AQI,CO,CO_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,PM10,PM10_24h,PM2.5,PM2.5_24h,SO2,SO2_24h
20200119,0,Alashanmeng,47.0,0.2,0.15,12.0,11.0,79.0,90.0,77.0,88.0,47.0,29.0,20.0,19.0,8.0,8.0
20200119,0,Ankang,146.0,1.4,1.2,31.0,34.0,4.0,27.0,11.0,21.0,133.0,106.0,112.0,92.0,6.0,7.0
20200119,0,Anqing,110.0,0.65,0.63,19.0,18.0,57.0,96.0,75.0,87.0,78.0,55.0,83.0,59.0,5.0,6.0
20200119,0,Anshan,207.0,2.72,2.72,59.0,78.0,22.0,62.0,18.0,39.0,245.0,163.0,157.0,109.0,20.0,33.0
20200119,0,Anshun,51.0,0.9,0.87,16.0,17.0,37.0,37.0,29.0,30.0,37.0,35.0,36.0,33.0,22.0,23.0
20200119,0,Anyang,273.0,2.97,2.47,60.0,52.0,7.0,30.0,8.0,22.0,254.0,227.0,223.0,206.0,11.0,8.0
20200119,0,Baicheng,86.0,1.15,1.15,25.0,28.0,54.0,78.0,58.0,69.0,106.0,88.0,64.0,45.0,11.0,14.0
20200119,0,Baise,39.0,1.05,1.05,18.0,11.0,15.0,40.0,29.0,36.0,38.0,28.0,27.0,17.0,8.0,9.0
20200119,0,Baishan,110.0,3.35,2.4,61.0,46.0,9.0,70.0,18.0,56.0,130.0,100.0,83.0,57.0,38.0,35.0
20200119,0,Baiyin,39.0,0.75,0.75,23.0,20.0,48.0,94.0,65.0,78.0,39.0,42.0,18.0,20.0,29.0,13.0
20200119,0,Baoding,201.0,2.63,3.08,67.0,72.0,9.0,20.0,5.0,13.0,218.0,278.0,151.0,185.0,12.0,9.0
20200119,0,Baoji,84.0,0.89,1.33,45.0,48.0,19.0,71.0,33.0,49.0,81.0,179.0,62.0,153.0,8.0,8.0
20200119,0,Baoshan,41.0,0.4,0.45,6.0,11.0,69.0,91.0,75.0,87.0,13.0,22.0,29.0,29.0,5.0,6.0
20200119,0,Baotou,84.0,1.64,2.9,74.0,82.0,10.0,78.0,40.0,59.0,117.0,216.0,49.0,168.0,14.0,39.0
20200119,0,Bayannur,56.0,0.5,0.85,15.0,24.0,67.0,79.0,71.0,75.0,62.0,144.0,23.0,62.0,8.0,15.0
20200119,0,Bazhong,119.0,1.27,1.17,29.0,33.0,4.0,19.0,6.0,12.0,126.0,92.0,90.0,67.0,7.0,7.0
20200119,0,Beihai,75.0,1.03,0.97,18.0,16.0,16.0,46.0,25.0,36.0,62.0,57.0,55.0,44.0,9.0,7.0
