date,hour,location,AQI,CO,CO_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,PM10,PM10_24h,PM2.5,PM2.5_24h,SO2,SO2_24h
20200114,0,Alashanmeng,68.0,0.4,0.4,14.0,16.0,72.0,82.0,63.0,79.0,62.0,38.0,49.0,28.0,10.0,9.0
20200114,0,Ankang,63.0,0.7,1.05,21.0,25.0,40.0,55.0,46.0,48.0,50.0,68.0,45.0,49.0,7.0,8.0
20200114,0,Anqing,124.0,0.85,0.73,19.0,29.0,72.0,82.0,71.0,74.0,85.0,77.0,94.0,84.0,7.0,6.0
20200114,0,Anshan,89.0,0.85,1.75,44.0,45.0,36.0,58.0,32.0,47.0,99.0,80.0,66.0,49.0,22.0,28.0
20200114,0,Anshun,13.0,0.87,0.77,22.0,13.0,17.0,79.0,43.0,65.0,10.0,26.0,9.0,22.0,14.0,17.0
20200114,0,Anyang,326.0,2.97,2.13,80.0,66.0,9.0,70.0,30.0,51.0,294.0,224.0,276.0,208.0,20.0,22.0
20200114,0,Baicheng,94.0,1.2,0.75,37.0,22.0,23.0,79.0,29.0,72.0,106.0,50.0,70.0,31.0,13.0,13.0
20200114,0,Baise,75.0,1.1,1.1,18.0,24.0,54.0,82.0,61.0,70.0,73.0,63.0,55.0,40.0,17.0,19.0
20200114,0,Baishan,81.0,1.75,1.55,38.0,34.0,23.0,60.0,23.0,48.0,92.0,73.0,60.0,42.0,21.0,31.0
20200114,0,Baiyin,63.0,0.9,1.0,42.0,34.0,24.0,69.0,31.0,57.0,71.0,63.0,45.0,35.0,116.0,43.0
20200114,0,Baoding,136.0,1.65,1.27,77.0,68.0,5.0,37.0,14.0,31.0,135.0,99.0,104.0,69.0,27.0,18.0
20200114,0,Baoji,266.0,1.69,1.27,58.0,45.0,13.0,54.0,22.0,40.0,221.0,160.0,216.0,148.0,9.0,10.0
20200114,0,Baoshan,44.0,0.4,0.6,8.0,14.0,63.0,87.0,68.0,78.0,13.0,27.0,31.0,27.0,5.0,6.0
20200114,0,Baotou,206.0,2.84,1.72,96.0,50.0,6.0,67.0,16.0,55.0,183.0,75.0,156.0,62.0,37.0,19.0
20200114,0,Bayannur,56.0,0.95,1.0,36.0,28.0,41.0,78.0,60.0,71.0,62.0,66.0,37.0,45.0,16.0,20.0
20200114,0,Bazhong,96.0,1.17,1.17,32.0,35.0,3.0,21.0,6.0,12.0,132.0,88.0,72.0,58.0,6.0,5.0
20200114,0,Beihai,65.0,1.1,1.07,21.0,24.0,108.0,141.0,121.0,124.0,71.0,68.0,47.0,41.0,7.0,12.0
20200114,0,Beijing,20.0,0.35,0.37,20.0,18.0,51.0,67.0,52.0,62.0,20.0,20.0,11.0,11.0,4.0,4.0
20200114,0,Bengbu,201.0,1.33,1.53,49.0,52.0,26.0,70.0,30.0,53.0,188.0,183.0,151.0,140.0,13.0,14.0
20200114,0,Benxi,96.0,1.53,1.77,54.0,48.0,9.0,51.0,17.0,36.0,118.0,104.0,72.0,64.0,17.0,22.0
20200114,0,Bijie,11.0,0.85,0.9,17.0,20.0,36.0,68.0,36.0,54.0,7.0,74.0,5.0,61.0,6.0,11.0
20200114,0,Binzhou,81.0,1.0,1.23,66.0,59.0,10.0,54.0,24.0,40.0,79.0,88.0,60.0,69.0,13.0,15.0
20200114,0,Bozhou,224.0,1.45,1.2,46.0,28.0,25.0,78.0,53.0,70.0,241.0,195.0,174.0,153.0,6.0,6.0
20200114,0,Cangzhou,79.0,1.07,1.03,65.0,55.0,4.0,53.0,14.0,45.0,76.0,81.0,58.0,57.0,22.0,17.0
20200114,0,Changchun,235.0,1.53,1.1,79.0,55.0,19.0,53.0,24.0,44.0,167.0,100.0,185.0,97.0,18.0,26.0
20200114,0,Changde,104.0,0.83,0.88,14.0,20.0,49.0,68.0,49.0,57.0,54.0,50.0,78.0,57.0,10.0,7.0
20200114,0,Changsha,71.0,0.91,0.98,39.0,37.0,34.0,63.0,47.0,57.0,50.0,46.0,52.0,40.0,5.0,5.0
20200114,0,Changzhi,135.0,1.48,2.02,77.0,67.0,21.0,97.0,47.0,76.0,137.0,151.0,103.0,126.0,42.0,46.0
20200114,0,Changzhou,283.0,2.22,1.78,80.0,78.0,4.0,36.0,5.0,19.0,283.0,212.0,233.0,174.0,12.0,12.0
